"","TWIST1","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","TGFB","ZEB1","MIR200","MIR129","HA","CD44s","CD24","SNAIL1"
"GRHL2",0.188900247213967,0.243262891507498,0.243262891507498,0.243262891507498,0.243262891507498,0.243262891507498,0.243262891507498,0.180069381577194,-0.028215730961442,-0.243439336147992,-0.180069381577194,-0.117062960138424,-0.243008114437434,-0.243008114437434,-0.343008114437434,-0.18483205508331
"MIR1199",0.167080296013414,0.159350568169961,0.159350568169961,0.159350568169961,0.159350568169961,0.159350568169961,0.159350568169961,0.0913526211875808,-0.0256192814055059,-0.159618664684706,-0.0913526211875808,-0.0970740509557593,-0.159435529937166,-0.159435529937166,-0.159435529937166,-0.159877247081187
"CD44s",0.167080296013414,0.159350568169961,0.159350568169961,0.159350568169961,0.159350568169961,0.159350568169961,0.159350568169961,0.0913526211875808,-0.0256192814055059,-0.159618664684706,-0.0913526211875808,-0.0970740509557593,-0.159435529937166,-0.159435529937166,-0.159435529937166,-0.159877247081187
"HAS2",0.166988971812501,0.159435529937166,0.159435529937166,0.159435529937166,0.159435529937166,0.159435529937166,0.159435529937166,0.0916687434215113,-0.025522663048018,-0.159350568169961,-0.0916687434215113,-0.0968000783530195,-0.258163265306122,-0.158163265306122,-0.158163265306122,-0.159498817563685
"TGFB",0.238000412099383,0.148007670359141,0.148007670359141,0.148007670359141,0.148007670359141,0.148007670359141,0.148007670359141,-0.107080348664966,-0.154481576246624,-0.147992957986035,0.107080348664966,-0.0883617511245616,-0.14749353154166,-0.14749353154166,-0.14749353154166,-0.269682687377274
"MIR34",0.238000412099383,0.148007670359141,0.148007670359141,0.148007670359141,0.148007670359141,0.148007670359141,0.148007670359141,-0.107080348664966,-0.154481576246624,-0.147992957986035,0.107080348664966,-0.0883617511245616,-0.14749353154166,-0.14749353154166,-0.14749353154166,-0.269682687377274
"MIR200",-0.121522405827112,0.0945776671231071,0.0945776671231071,0.0945776671231071,0.0945776671231071,0.0945776671231071,0.0945776671231071,0.194362450944233,0.000343619899249156,-0.0945249523102446,-0.194362450944233,0.0610770964056831,-0.0948308316800691,-0.0948308316800691,-0.0948308316800691,0.101892296675883
"TWIST1",0.0878110156452419,0.0082657075632251,0.0082657075632251,0.0082657075632251,0.0082657075632251,0.0082657075632251,0.0082657075632251,-0.0869382929269689,-0.0624046476203627,-0.00824831020762315,0.0869382929269689,0.00361942461721293,-0.00778963640311485,-0.00778963640311485,-0.00778963640311485,-0.182251175930354
"MIR129",-0.187444906858631,-0.00778963640311485,-0.00778963640311485,-0.00778963640311485,-0.00778963640311485,-0.00778963640311485,-0.00778963640311485,0.0872462695207478,0.0622074089615856,0.0082657075632251,-0.0872462695207478,-0.00354095221334163,0.00838576158940397,0.00838576158940397,0.00838576158940397,0.182402129683614
"ZEB1",-0.16742308192803,-0.159618664684706,-0.159618664684706,-0.159618664684706,-0.159618664684706,-0.159618664684706,-0.159618664684706,-0.0913708993816952,0.0257818830315222,0.0597918336772702,0.0913708993816952,0.097292187446878,0.159350568169961,0.159350568169961,0.159350568169961,0.159909809764352
"SNAIL1",-0.237985216840304,-0.147992957986035,-0.147992957986035,-0.147992957986035,-0.147992957986035,-0.147992957986035,-0.147992957986035,0.107125373428586,0.154497828481306,0.148003061037157,-0.107125373428586,0.0883161653473241,0.148007670359141,0.148007670359141,0.148007670359141,0.169818589527726
"MIR190",-0.237692449054948,-0.14749353154166,-0.14749353154166,-0.14749353154166,-0.14749353154166,-0.14749353154166,-0.14749353154166,0.107368382181593,0.0542444970621766,0.148007670359141,-0.107368382181593,0.0885817247277292,0.146992278408828,0.146992278408828,0.146992278408828,0.269589836866596
"ESRP1",-0.166988971812501,-0.159435529937166,-0.159435529937166,-0.159435529937166,-0.159435529937166,-0.159435529937166,-0.159435529937166,-0.0916687434215113,0.025522663048018,0.159350568169961,0.0916687434215113,0.0968000783530195,0.158163265306122,0.0581632653061225,0.158163265306122,0.159498817563685
"MIR340",-0.167080296013414,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.0913526211875808,0.0256192814055059,0.159618664684706,0.0913526211875808,0.0970740509557593,0.159435529937166,0.159435529937166,0.159435529937166,0.159877247081187
"HA",-0.167080296013414,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.0913526211875808,0.0256192814055059,0.159618664684706,0.0913526211875808,0.0970740509557593,0.159435529937166,0.159435529937166,0.159435529937166,0.159877247081187
"CD24",-0.167080296013414,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.159350568169961,-0.0913526211875808,0.0256192814055059,0.159618664684706,0.0913526211875808,0.0970740509557593,0.159435529937166,0.159435529937166,0.159435529937166,0.159877247081187
