"","MIR34","MIR129","MIR200","CD44s","CD24","MIR340","MIR190","GRHL2","ESRP1","TGFB","ZEB1","SNAIL1","MIR1199","HAS2","HA","TWIST1"
"SNAIL1",0.0238034860471093,-0.105163411282074,0.13273491848569,0.154365599775143,0.154365599775143,0.154262613163403,0.154262613163403,0.154262613163403,0.154262613163403,-0.0699180850457757,-0.154262613163403,-0.0943162741556424,-0.154262613163403,-0.154262613163403,-0.154365599775143,0.105163411282074
"MIR200",0.0615956675871294,-0.0605826683326526,0.219260610254981,0.152135551628601,0.152135551628601,0.153097576945056,0.153097576945056,0.153097576945056,0.153097576945056,-0.188899916053837,-0.152271711543545,0.0106564375606334,-0.153097576945056,-0.153097576945056,-0.152135551628601,0.0605826683326526
"HAS2",0.120125644330751,0.119641221523574,0.100981643713688,0.100865800865801,0.100865800865801,0.0960311952678365,0.0960311952678365,0.0960311952678365,0.0960311952678365,0.00548581461360366,-0.0981552394479554,-0.0878034880926931,-0.0960311952678365,-0.0960311952678365,-0.000865800865800864,-0.119641221523574
"ESRP1",0.120125644330751,0.119641221523574,0.100981643713688,0.200865800865801,0.100865800865801,0.0960311952678365,0.0960311952678365,0.0960311952678365,0.0960311952678365,0.00548581461360366,-0.0981552394479554,-0.0878034880926931,-0.0960311952678365,-0.0960311952678365,-0.100865800865801,-0.119641221523574
"MIR340",0.122443874046241,0.120463139331794,0.101297765947619,0.0960311952678365,0.0960311952678365,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.00403653925128482,-0.0969934878840591,-0.0861005552639325,-0.0981552394479554,-0.0981552394479554,-0.0960311952678365,-0.120463139331794
"MIR1199",0.122443874046241,0.120463139331794,0.101297765947619,0.0960311952678365,0.0960311952678365,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.00403653925128482,-0.0969934878840591,-0.0861005552639325,-0.0981552394479554,-0.0981552394479554,-0.0960311952678365,-0.120463139331794
"HA",0.122443874046241,0.120463139331794,0.101297765947619,0.0960311952678365,0.0960311952678365,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.00403653925128482,-0.0969934878840591,-0.0861005552639325,-0.0981552394479554,-0.0981552394479554,-0.0960311952678365,-0.120463139331794
"CD44s",0.122443874046241,0.120463139331794,0.101297765947619,0.0960311952678365,0.0960311952678365,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.0981552394479554,0.00403653925128482,-0.0969934878840591,-0.0861005552639325,-0.0981552394479554,-0.0981552394479554,-0.0960311952678365,-0.120463139331794
"MIR129",-0.00726012719225529,-0.00431236011499677,0.0141833565515239,0.00735927152317881,0.00735927152317881,0.00929667837861845,0.00929667837861845,0.00929667837861845,0.00929667837861845,-0.00692621765811901,-0.00811902866676678,0.0355389746631313,-0.00929667837861845,-0.00929667837861845,-0.00735927152317881,-0.0769656159962622
"GRHL2",0.0223548924574546,0.0910351513436574,0.00404849887778503,0.00611551140346952,0.10611551140347,0.00891805917417016,0.00891805917417016,0.00891805917417016,0.00891805917417016,0.00367189539561207,-0.0075065020502178,-0.0679336008103819,-0.00891805917417016,-0.00891805917417016,-0.00611551140346952,-0.0910351513436574
"ZEB1",-0.121073009487659,-0.119621755723193,-0.101242931365275,-0.0981552394479554,-0.0981552394479554,-0.0969934878840591,-0.0969934878840591,-0.0969934878840591,-0.0969934878840591,-0.00465442543014661,-0.00222215844373962,0.0870123103925551,0.0969934878840591,0.0969934878840591,0.0981552394479554,0.119621755723193
"TWIST1",0.00852283122674867,0.0047570370702675,-0.0139985705952565,-0.00929667837861845,-0.00929667837861845,-0.00811902866676678,-0.00811902866676678,-0.00811902866676678,-0.00811902866676678,0.00622179387677215,0.00862355197922329,-0.0347842058968352,0.00811902866676678,0.00811902866676678,0.00929667837861845,-0.0234527940455788
"CD24",-0.122443874046241,-0.120463139331794,-0.101297765947619,-0.0960311952678365,-0.0960311952678365,-0.0981552394479554,-0.0981552394479554,-0.0981552394479554,-0.0981552394479554,-0.00403653925128482,0.0969934878840591,0.0861005552639325,0.0981552394479554,0.0981552394479554,0.0960311952678365,0.120463139331794
"TGFB",-0.0239205504325213,0.10505704446852,-0.132743923438414,-0.154708358986797,-0.154708358986797,-0.154365599775143,-0.154365599775143,-0.154365599775143,-0.154365599775143,0.0698693283417289,0.154262613163403,-0.00564375462363649,0.154365599775143,0.154365599775143,0.154708358986797,-0.10505704446852
"MIR34",-0.0239205504325213,0.10505704446852,-0.132743923438414,-0.154708358986797,-0.154708358986797,-0.154365599775143,-0.154365599775143,-0.154365599775143,-0.154365599775143,0.0698693283417289,0.154262613163403,-0.00564375462363649,0.154365599775143,0.154365599775143,0.154708358986797,-0.10505704446852
"MIR190",-0.0242085839491487,0.105013049747887,-0.132874847764154,-0.155460238686045,-0.155460238686045,-0.154708358986797,-0.154708358986797,-0.154708358986797,-0.154708358986797,0.169821912504839,0.154365599775143,-0.00550447885761977,0.154708358986797,0.154708358986797,0.155460238686045,-0.105013049747887
