"","TWIST1","MIR129","ZEB1","TGFB","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","MIR34","MIR200","SNAIL1"
"SNAIL1",-0.434121928111176,-0.182113074308348,-0.165603342868837,-0.113633251381914,0.162766237556338,0.164340461478657,0.164340461478657,0.164340461478657,0.164340461478657,0.164340461478657,0.164340461478657,-0.162766237556338,-0.162766237556338,0.210022299314608,0.210022299314608,0.435938182785741
"MIR34",-0.426661055903305,-0.179484294487652,-0.164340461478657,-0.111926766740276,0.160709682286415,0.162766237556338,0.162766237556338,0.162766237556338,0.162766237556338,0.162766237556338,0.162766237556338,-0.160709682286415,-0.160709682286415,0.207293798639237,0.207293798639237,0.529215023460455
"ZEB1",-0.28148628325399,-0.157939287124291,-0.0970066950007267,-0.079190961745736,-0.00349568897454628,-0.00322759245980097,-0.00322759245980097,-0.00322759245980097,-0.00322759245980097,-0.00322759245980097,-0.00322759245980097,0.00349568897454628,0.00349568897454628,0.129609290164784,0.129609290164784,0.297495570247246
"MIR200",-0.153003631272171,-0.0769855524628381,-0.0797989341630548,-0.125605158067857,0.0791642745072358,0.0791136415958434,0.0791136415958434,0.0791136415958434,0.0791136415958434,0.0791136415958434,0.0791136415958434,-0.0791642745072358,-0.0791642745072358,0.0295561854142784,0.0295561854142784,0.144113008496794
"ESRP1",0.269080535151123,0.154320526532291,-0.00349568897454628,0.0803475541812256,0.111811997526283,0.00595958022348426,0.00595958022348426,0.00595958022348426,0.00595958022348426,0.00595958022348426,0.00595958022348426,-0.0118119975262832,-0.0118119975262832,-0.125541746748295,-0.125541746748295,-0.287979811541349
"HA",0.276843092228749,0.156786279956949,-0.00322759245980097,0.0788982788189068,0.00595958022348426,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,-0.00595958022348426,-0.00595958022348426,-0.127543854229854,-0.127543854229854,-0.29375086168326
"CD44s",0.276843092228749,0.156786279956949,-0.00322759245980097,0.0788982788189068,0.00595958022348426,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,-0.00595958022348426,-0.00595958022348426,-0.127543854229854,-0.127543854229854,-0.29375086168326
"CD24",0.276843092228749,0.156786279956949,-0.00322759245980097,0.0788982788189068,0.00595958022348426,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,0.00349568897454628,-0.00595958022348426,-0.00595958022348426,-0.127543854229854,-0.127543854229854,-0.29375086168326
"MIR340",-0.276843092228749,-0.156786279956949,0.00322759245980097,-0.0788982788189068,-0.00595958022348426,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,0.00595958022348426,0.00595958022348426,0.127543854229854,0.127543854229854,0.29375086168326
"MIR1199",-0.276843092228749,-0.156786279956949,0.00322759245980097,-0.0788982788189068,-0.00595958022348426,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,-0.00349568897454628,0.00595958022348426,0.00595958022348426,0.127543854229854,0.127543854229854,0.29375086168326
"HAS2",-0.269080535151123,-0.154320526532291,0.00349568897454628,-0.0803475541812256,-0.0118119975262832,-0.00595958022348426,-0.00595958022348426,-0.00595958022348426,-0.00595958022348426,-0.00595958022348426,-0.00595958022348426,-0.0881880024737167,0.0118119975262832,0.125541746748295,0.125541746748295,0.287979811541349
"GRHL2",0.17792752269621,0.111976613440576,0.0406942945581481,-0.0116666577697662,-0.0407532405542877,-0.0411354061593832,-0.0411354061593832,-0.0411354061593832,-0.0411354061593832,-0.0411354061593832,-0.0411354061593832,0.0407532405542877,-0.0592467594457123,-0.0109109212741535,-0.0109109212741535,-0.173479077264136
"MIR129",0.359904911876931,0.0842108426474187,0.0644917195649529,0.0708551282536963,-0.0594867549668874,-0.0630635060846221,-0.0630635060846221,-0.0630635060846221,-0.0630635060846221,-0.0630635060846221,-0.0630635060846221,0.0594867549668874,0.0594867549668874,-0.144740648842442,-0.144740648842442,-0.413637546369814
"TWIST1",0.266756376312077,0.0862249676801155,0.0650832296554191,0.0711650747174889,-0.0630635060846221,-0.0644917195649529,-0.0644917195649529,-0.0644917195649529,-0.0644917195649529,-0.0644917195649529,-0.0644917195649529,0.0630635060846221,0.0630635060846221,-0.147173663933295,-0.147173663933295,-0.419469850473012
"MIR190",0.41623430711316,0.175920722116337,0.162766237556338,0.209982717427806,-0.157200910356591,-0.160709682286415,-0.160709682286415,-0.160709682286415,-0.160709682286415,-0.160709682286415,-0.160709682286415,0.157200910356591,0.157200910356591,-0.203287514271601,-0.203287514271601,-0.51969784611598
"TGFB",0.426661055903305,0.179484294487652,0.164340461478657,0.111926766740276,-0.160709682286415,-0.162766237556338,-0.162766237556338,-0.162766237556338,-0.162766237556338,-0.162766237556338,-0.162766237556338,0.160709682286415,0.160709682286415,-0.207293798639237,-0.207293798639237,-0.529215023460455
