"","MIR34","MIR200","MIR340","MIR190","MIR1199","HAS2","SNAIL1","MIR129","TGFB","ZEB1","TWIST1","HA","CD44s","CD24","GRHL2","ESRP1"
"MIR340",0.103102669902779,0.103102669902779,0.100652381689184,0.100652381689184,0.100652381689184,0.100652381689184,0.0832201305069037,0.0752101108668393,0.00275922918836756,-0.102409903285848,-0.0752101108668393,-0.101926808197255,-0.101926808197255,-0.101926808197255,-0.100652381689184,-0.100652381689184
"MIR1199",0.103102669902779,0.103102669902779,0.100652381689184,0.100652381689184,0.100652381689184,0.100652381689184,0.0832201305069037,0.0752101108668393,0.00275922918836756,-0.102409903285848,-0.0752101108668393,-0.101926808197255,-0.101926808197255,-0.101926808197255,-0.100652381689184,-0.100652381689184
"HA",0.103102669902779,0.103102669902779,0.100652381689184,0.100652381689184,0.100652381689184,0.100652381689184,0.0832201305069037,0.0752101108668393,0.00275922918836756,-0.102409903285848,-0.0752101108668393,-0.101926808197255,-0.101926808197255,-0.101926808197255,-0.100652381689184,-0.100652381689184
"CD44s",0.103102669902779,0.103102669902779,0.100652381689184,0.100652381689184,0.100652381689184,0.100652381689184,0.0832201305069037,0.0752101108668393,0.00275922918836756,-0.102409903285848,-0.0752101108668393,-0.101926808197255,-0.101926808197255,-0.101926808197255,-0.100652381689184,-0.100652381689184
"CD24",0.103102669902779,0.103102669902779,0.100652381689184,0.100652381689184,0.100652381689184,0.100652381689184,0.0832201305069037,0.0752101108668393,0.00275922918836756,-0.102409903285848,-0.0752101108668393,-0.101926808197255,-0.101926808197255,-0.101926808197255,-0.100652381689184,-0.100652381689184
"ESRP1",0.106474640398037,0.106474640398037,0.101926808197255,0.101926808197255,0.101926808197255,0.101926808197255,0.0874774625788053,0.0659863665746019,0.00536792484054147,-0.100652381689184,-0.0659863665746019,-0.102690166975881,-0.00269016697588126,-0.102690166975881,-0.101926808197255,-0.101926808197255
"MIR34",-0.0169814127182632,-0.0169814127182632,0.0861031186582789,0.0861031186582789,0.0861031186582789,0.0861031186582789,0.0219918632245745,0.0372104568437929,0.074189299741254,-0.0898547738002533,-0.0372104568437929,-0.0921870946651341,-0.0921870946651341,-0.0921870946651341,-0.0861031186582789,-0.0861031186582789
"SNAIL1",-0.0154235558970115,-0.0154235558970115,0.0898547738002533,0.0898547738002533,0.0898547738002533,0.0898547738002533,-0.079726899266432,0.0386540064563138,0.0737829938741973,-0.0876523086557797,-0.0386540064563138,-0.0861031186582789,-0.0861031186582789,-0.0861031186582789,-0.0898547738002533,-0.0898547738002533
"MIR129",0.0148845888546028,0.0148845888546028,0.0135058419939269,0.0135058419939269,0.0135058419939269,0.0135058419939269,-0.00709725389882545,0.076979333303873,-0.000812974408837575,-0.0181412717107898,0.136309617542129,-0.02155353200883,-0.02155353200883,-0.02155353200883,-0.0135058419939269,-0.0135058419939269
"TWIST1",0.0164552694828751,0.0164552694828751,0.0181412717107898,0.0181412717107898,0.0181412717107898,0.0181412717107898,-0.00988303679988212,0.0800397570548539,-0.00168645989770768,-0.0154968736592937,0.0332761447387819,-0.0135058419939269,-0.0135058419939269,-0.0135058419939269,-0.0181412717107898,-0.0181412717107898
"ZEB1",-0.105826120825828,-0.105826120825828,-0.102409903285848,-0.102409903285848,-0.102409903285848,-0.102409903285848,-0.0857274571106159,-0.0692581008948854,-0.00435272512332691,0.000749518239499456,0.0692581008948854,0.100652381689184,0.100652381689184,0.100652381689184,0.102409903285848,0.102409903285848
"GRHL2",-0.00381106242581365,-0.00381106242581365,-0.00899044571736071,-0.00899044571736071,-0.00899044571736071,-0.00899044571736071,-0.0657585472557678,-0.0674074550467978,-0.00282606486810568,0.0106225586419306,0.0674074550467978,0.0097547769275518,0.0097547769275518,0.109754776927552,0.00899044571736071,0.00899044571736071
"MIR190",0.0139177834959537,0.0139177834959537,-0.0921870946651341,-0.0921870946651341,-0.0921870946651341,-0.0921870946651341,-0.0200884277556794,-0.0377823882120287,0.0259529477694145,0.0861031186582789,0.0377823882120287,0.0829139117077406,0.0829139117077406,0.0829139117077406,0.0921870946651341,0.0921870946651341
"TGFB",0.0169814127182632,0.0169814127182632,-0.0861031186582789,-0.0861031186582789,-0.0861031186582789,-0.0861031186582789,-0.0219918632245745,-0.0372104568437929,-0.074189299741254,0.0898547738002533,0.0372104568437929,0.0921870946651341,0.0921870946651341,0.0921870946651341,0.0861031186582789,0.0861031186582789
"HAS2",-0.106474640398037,-0.106474640398037,-0.101926808197255,-0.101926808197255,-0.101926808197255,-0.101926808197255,-0.0874774625788053,-0.0659863665746019,-0.00536792484054147,0.100652381689184,0.0659863665746019,0.00269016697588126,0.102690166975881,0.102690166975881,0.101926808197255,0.101926808197255
"MIR200",-0.185424388182538,-0.185424388182538,-0.101111404926539,-0.101111404926539,-0.101111404926539,-0.101111404926539,0.0186359697233852,0.0315721398450905,-0.00860321170336787,0.104643297388321,-0.0315721398450905,0.105617734040463,0.105617734040463,0.105617734040463,0.101111404926539,0.101111404926539
