"","SNAIL1","ZEB1","TGFB","HA","MIR200","MIR340","MIR1199","HAS2","GRHL2","ESRP1","MIR190","CD44s","CD24","MIR34","TWIST1","MIR129"
"TWIST1",-0.00137076388969514,-0.239459048259385,0.158812398167395,0.241226621332202,0.117231798700048,0.232882847841848,0.232882847841848,0.232882847841848,0.232882847841848,0.232882847841848,-0.232882847841848,-0.241226621332202,-0.241226621332202,-0.120064290650565,0.125342965159503,0.256885736812477
"MIR129",-0.00978300486677762,-0.232882847841848,0.156135587798277,0.232433774834437,0.117662965931338,0.241226621332202,0.241226621332202,0.241226621332202,0.241226621332202,0.241226621332202,-0.241226621332202,-0.232433774834437,-0.232433774834437,-0.129888743992111,0.220112839636491,0.251680400689013
"MIR34",-0.0457387581040669,-0.113297044024899,0.163878112762857,0.117333037524224,0.132198405113983,0.101394734182321,0.101394734182321,0.101394734182321,0.101394734182321,0.101394734182321,-0.101394734182321,-0.117333037524224,-0.117333037524224,0.0285819670328061,0.152034440378164,0.152034440378164
"MIR190",-0.0579021750028598,-0.101394734182321,0.0548216879169581,0.0977841653437726,0.13541914352718,0.117333037524224,0.117333037524224,0.117333037524224,0.117333037524224,0.117333037524224,-0.117333037524224,-0.0977841653437726,-0.0977841653437726,0.0123211657759326,0.1448633009149,0.1448633009149
"ZEB1",-0.160394402717471,-0.0709796411655052,-0.0331248977953058,-0.029866459091176,-0.0281238132323436,-0.0247726253110151,-0.0247726253110151,-0.0247726253110151,-0.0247726253110151,-0.0247726253110151,0.0247726253110151,0.029866459091176,0.029866459091176,0.110728000590225,0.199703381489952,0.199703381489952
"MIR340",0.159319834173023,-0.0247726253110151,0.0269135156814846,0.021455244137905,0.0302989183319598,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,-0.029866459091176,-0.021455244137905,-0.021455244137905,-0.114804037877741,-0.20135498635128,-0.20135498635128
"MIR1199",0.159319834173023,-0.0247726253110151,0.0269135156814846,0.021455244137905,0.0302989183319598,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,-0.029866459091176,-0.021455244137905,-0.021455244137905,-0.114804037877741,-0.20135498635128,-0.20135498635128
"CD44s",0.159319834173023,-0.0247726253110151,0.0269135156814846,0.021455244137905,0.0302989183319598,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,-0.029866459091176,-0.021455244137905,-0.021455244137905,-0.114804037877741,-0.20135498635128,-0.20135498635128
"CD24",0.159319834173023,-0.0247726253110151,0.0269135156814846,0.021455244137905,0.0302989183319598,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,0.029866459091176,-0.029866459091176,-0.021455244137905,-0.021455244137905,-0.114804037877741,-0.20135498635128,-0.20135498635128
"GRHL2",0.104477005190952,0.020219525895066,-0.0252107783182924,-0.0239460479408123,-0.0236055102691814,-0.014264519278392,-0.014264519278392,-0.014264519278392,-0.014264519278392,-0.014264519278392,0.014264519278392,0.0239460479408123,-0.0760539520591877,-0.0196824173743644,-0.135095786802735,-0.135095786802735
"HA",-0.159319834173023,0.0247726253110151,-0.0269135156814846,-0.021455244137905,-0.0302989183319598,-0.029866459091176,-0.029866459091176,-0.029866459091176,-0.029866459091176,-0.029866459091176,0.029866459091176,0.021455244137905,0.021455244137905,0.114804037877741,0.20135498635128,0.20135498635128
"HAS2",-0.161779626036789,0.029866459091176,-0.0357057862128856,0.0650587507730365,-0.0254517107450262,-0.021455244137905,-0.021455244137905,-0.021455244137905,-0.021455244137905,-0.021455244137905,0.021455244137905,0.0349412492269635,0.0349412492269635,0.10921921174497,0.201446310552193,0.201446310552193
"ESRP1",-0.161779626036789,0.029866459091176,-0.0357057862128856,-0.0349412492269635,-0.0254517107450262,-0.021455244137905,-0.021455244137905,-0.021455244137905,-0.021455244137905,-0.021455244137905,0.021455244137905,-0.0650587507730365,0.0349412492269635,0.10921921174497,0.201446310552193,0.201446310552193
"MIR200",-0.00134704400574744,0.0833536845941529,-0.0822738017476835,-0.0799836733171866,-0.181602642415142,-0.0928950657222499,-0.0928950657222499,-0.0928950657222499,-0.0928950657222499,-0.0928950657222499,0.0928950657222499,0.0799836733171866,0.0799836733171866,0.0363389440420043,-0.0439018463150528,-0.0439018463150528
"SNAIL1",-0.0453316711868437,0.104093164453268,-0.155833256595134,-0.101394734182321,-0.134764816640323,-0.113297044024899,-0.113297044024899,-0.113297044024899,-0.113297044024899,-0.113297044024899,0.113297044024899,0.101394734182321,0.101394734182321,-0.0165783650517165,-0.146548951850585,-0.146548951850585
"TGFB",0.0457387581040669,0.113297044024899,-0.163878112762857,-0.117333037524224,-0.132198405113983,-0.101394734182321,-0.101394734182321,-0.101394734182321,-0.101394734182321,-0.101394734182321,0.101394734182321,0.117333037524224,0.117333037524224,-0.0285819670328061,-0.152034440378164,-0.152034440378164
