"","MIR129","MIR200","TGFB","TWIST1","ZEB1","CD44s","CD24","MIR340","MIR190","MIR34","MIR1199","HAS2","GRHL2","ESRP1","HA","SNAIL1"
"SNAIL1",-0.0753925728645007,-0.0283632493759521,-0.0335560307706335,-0.0183819317955675,-0.058560844062443,0.0579455255895083,0.0579455255895083,0.0594903247656154,0.0594903247656154,0.0878532852779369,-0.0594903247656154,-0.0594903247656154,-0.0594903247656154,-0.0594903247656154,-0.0579455255895083,-0.0854891979531732
"ZEB1",-0.102247616757639,-0.0751848024539828,-0.0658545848625586,-0.0619145165066022,-0.0582336841839463,-0.0518519675441373,-0.0518519675441373,-0.0511072550031781,-0.0511072550031781,-0.03808367962206,0.0511072550031781,0.0511072550031781,0.0511072550031781,0.0511072550031781,0.0518519675441373,0.0859589871625056
"HAS2",0.113624124894713,0.0677408008507406,0.0509781856637841,0.0709114728408846,-0.0518519675441373,0.0312925170068027,0.0312925170068027,0.0320558757854287,0.0320558757854287,0.0218894307624248,-0.0320558757854287,-0.0320558757854287,-0.0320558757854287,-0.0320558757854287,0.0687074829931973,-0.0841205048484787
"MIR1199",0.107140106629873,0.0765922234007933,0.0528139344560546,0.0613224317449942,-0.0511072550031781,0.0320558757854287,0.0320558757854287,0.0518519675441373,0.0518519675441373,0.0375901683809706,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0320558757854287,-0.0816607129847133
"HA",0.107140106629873,0.0765922234007933,0.0528139344560546,0.0613224317449942,-0.0511072550031781,0.0320558757854287,0.0320558757854287,0.0518519675441373,0.0518519675441373,0.0375901683809706,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0320558757854287,-0.0816607129847133
"CD44s",0.107140106629873,0.0765922234007933,0.0528139344560546,0.0613224317449942,-0.0511072550031781,0.0320558757854287,0.0320558757854287,0.0518519675441373,0.0518519675441373,0.0375901683809706,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0320558757854287,-0.0816607129847133
"CD24",0.107140106629873,0.0765922234007933,0.0528139344560546,0.0613224317449942,-0.0511072550031781,0.0320558757854287,0.0320558757854287,0.0518519675441373,0.0518519675441373,0.0375901683809706,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0518519675441373,-0.0320558757854287,-0.0816607129847133
"MIR129",-0.157683800828217,0.00817868940643559,0.0152334229899862,-0.0243501446366203,-0.0136735962063335,0.0230435982339956,0.0230435982339956,0.02006297230255,0.02006297230255,0.018254417652026,-0.02006297230255,-0.02006297230255,-0.02006297230255,-0.02006297230255,-0.0230435982339956,0.00931177843853529
"TWIST1",0.15504189656455,-0.0054992930405594,-0.0128383821334069,-0.0784741231458065,0.0151523714324991,-0.02006297230255,-0.02006297230255,-0.0136735962063335,-0.0136735962063335,-0.013080410876541,0.0136735962063335,0.0136735962063335,0.0136735962063335,0.0136735962063335,0.02006297230255,-0.00905104013745117
"GRHL2",0.083750145962095,-0.0151993605790633,-0.0270742401358465,0.0568047207820404,0.0235261520787331,-0.0324854939514625,-0.132485493951463,-0.0178358124228001,-0.0178358124228001,-0.03279257994815,0.0178358124228001,0.0178358124228001,0.0178358124228001,0.0178358124228001,0.0324854939514625,-0.0643327981532563
"MIR340",-0.107140106629873,-0.0765922234007933,-0.0528139344560546,-0.0613224317449942,0.0511072550031781,-0.0320558757854287,-0.0320558757854287,-0.0518519675441373,-0.0518519675441373,-0.0375901683809706,0.0518519675441373,0.0518519675441373,0.0518519675441373,0.0518519675441373,0.0320558757854287,0.0816607129847133
"ESRP1",-0.113624124894713,-0.0677408008507406,-0.0509781856637841,-0.0709114728408846,0.0518519675441373,-0.131292517006803,-0.0312925170068027,-0.0320558757854287,-0.0320558757854287,-0.0218894307624248,0.0320558757854287,0.0320558757854287,0.0320558757854287,0.0320558757854287,0.0312925170068027,0.0841205048484787
"MIR190",0.0747464167001558,0.0300925304098216,0.132551767506625,0.0168926359631263,0.0579455255895083,-0.0595691218552369,-0.0595691218552369,-0.0560603499254123,-0.0560603499254123,-0.0853872581067477,0.0560603499254123,0.0560603499254123,0.0560603499254123,0.0560603499254123,0.0595691218552369,-0.0137326473692625
"MIR200",0.0518062674700568,0.00637426003470933,0.127577714734336,0.0280593091569086,0.0592867437836843,-0.0485731364667793,-0.0485731364667793,-0.0589528833022224,-0.0589528833022224,-0.148278433906187,0.0589528833022224,0.0589528833022224,0.0589528833022224,0.0589528833022224,0.0485731364667793,-0.0178284240715281
"TGFB",0.0745264430969882,0.02896658120846,0.0349699751879909,0.0177285356551633,0.0594903247656154,-0.0560603499254123,-0.0560603499254123,-0.0579455255895083,-0.0579455255895083,-0.0865655770384052,0.0579455255895083,0.0579455255895083,0.0579455255895083,0.0579455255895083,0.0560603499254123,-0.0146147272207016
"MIR34",0.0745264430969882,0.02896658120846,0.0349699751879909,0.0177285356551633,0.0594903247656154,-0.0560603499254123,-0.0560603499254123,-0.0579455255895083,-0.0579455255895083,-0.0865655770384052,0.0579455255895083,0.0579455255895083,0.0579455255895083,0.0579455255895083,0.0560603499254123,-0.0146147272207016
