"","SNAIL1","HA","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","MIR200","ZEB1","TGFB","ESRP1","CD44s","TWIST1","MIR129"
"ESRP1",0.13736722841115,0.0976808905380334,0.0976808905380334,0.0908106615303998,0.0908106615303998,0.0908106615303998,0.0908106615303998,0.0908106615303998,0.0724017914959341,0.0724017914959341,-0.0944640175202044,-0.0864831810065076,-0.0908106615303998,0.0023191094619666,-0.102126124855537,-0.102126124855537
"MIR340",0.137083406273023,0.0908106615303998,0.0908106615303998,0.0944640175202044,0.0944640175202044,0.0944640175202044,0.0944640175202044,0.0944640175202044,0.0748253952894009,0.0748253952894009,-0.0922894569006036,-0.0817488814895994,-0.0944640175202044,-0.0908106615303998,-0.102400097458276,-0.102400097458276
"CD44s",0.137083406273023,0.0908106615303998,0.0908106615303998,0.0944640175202044,0.0944640175202044,0.0944640175202044,0.0944640175202044,0.0944640175202044,0.0748253952894009,0.0748253952894009,-0.0922894569006036,-0.0817488814895994,-0.0944640175202044,-0.0908106615303998,-0.102400097458276,-0.102400097458276
"MIR200",0.127686875189,0.0870107506036781,0.0870107506036781,0.0965803708568427,0.0965803708568427,0.0965803708568427,0.0965803708568427,0.0965803708568427,-0.0020807647891822,-0.0020807647891822,-0.0900613056661908,-0.0909759691178536,-0.0965803708568427,-0.0870107506036781,-0.0874407697292204,-0.0874407697292204
"MIR34",0.017001531135932,0.0394165259951043,0.0394165259951043,0.0266487453609997,0.0266487453609997,0.0266487453609997,0.0266487453609997,0.0266487453609997,-0.0460954575996421,-0.0460954575996421,-0.0357262795672672,0.0447679189950412,-0.0266487453609997,-0.0394165259951043,-0.0378529422909367,-0.0378529422909367
"SNAIL1",-0.0818393034631566,0.0266487453609997,0.0266487453609997,0.0357262795672672,0.0357262795672672,0.0357262795672672,0.0357262795672672,0.0357262795672672,-0.0398550253619113,-0.0398550253619113,-0.0294219756674895,0.0551530969570109,-0.0357262795672672,-0.0266487453609997,-0.0352545529883991,-0.0352545529883991
"TWIST1",0.0093721334597537,0.0257836603468185,0.0257836603468185,0.0368836352904417,0.0368836352904417,0.0368836352904417,0.0368836352904417,0.0368836352904417,0.0220988215364368,0.0220988215364368,-0.0289330437803512,-0.0190970458983432,-0.0368836352904417,-0.0257836603468185,0.0277347130507367,-0.0848335247440267
"MIR190",0.0187656908388104,0.0211207866467333,0.0211207866467333,0.0394165259951043,0.0394165259951043,0.0394165259951043,0.0394165259951043,0.0394165259951043,-0.037166418584193,-0.037166418584193,-0.0266487453609997,-0.0402960923847597,-0.0394165259951043,-0.0211207866467333,-0.0336734438307519,-0.0336734438307519
"ZEB1",-0.137181094322518,-0.0944640175202044,-0.0944640175202044,-0.0922894569006036,-0.0922894569006036,-0.0922894569006036,-0.0922894569006036,-0.0922894569006036,-0.0736007562837347,-0.0736007562837347,-0.00607053087570285,0.0846431904326888,0.0922894569006036,0.0944640175202044,0.102119636255409,0.102119636255409
"GRHL2",0.0936323882893449,0.00328097731239092,0.103280977312391,0.00773957603850557,0.00773957603850557,0.00773957603850557,0.00773957603850557,0.00773957603850557,-0.00522136382391048,-0.00522136382391048,-0.00518112875134192,0.00194690502467164,-0.00773957603850557,-0.00328097731239092,-0.0814340707356459,-0.0814340707356459
"TGFB",-0.017001531135932,-0.0394165259951043,-0.0394165259951043,-0.0266487453609997,-0.0266487453609997,-0.0266487453609997,-0.0266487453609997,-0.0266487453609997,0.0460954575996421,0.0460954575996421,0.0357262795672672,-0.0447679189950412,0.0266487453609997,0.0394165259951043,0.0378529422909367,0.0378529422909367
"MIR129",-0.00801354968042064,-0.0424751655629139,-0.0424751655629139,-0.0257836603468185,-0.0257836603468185,-0.0257836603468185,-0.0257836603468185,-0.0257836603468185,-0.0143070137138313,-0.0143070137138313,0.0368836352904417,0.0325374516464413,0.0257836603468185,0.0424751655629139,-0.124282830205548,0.088260153046407
"MIR1199",-0.137083406273023,-0.0908106615303998,-0.0908106615303998,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0748253952894009,-0.0748253952894009,0.0922894569006036,0.0817488814895994,0.0944640175202044,0.0908106615303998,0.102400097458276,0.102400097458276
"HA",-0.137083406273023,-0.0908106615303998,-0.0908106615303998,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0748253952894009,-0.0748253952894009,0.0922894569006036,0.0817488814895994,0.0944640175202044,0.0908106615303998,0.102400097458276,0.102400097458276
"CD24",-0.137083406273023,-0.0908106615303998,-0.0908106615303998,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0944640175202044,-0.0748253952894009,-0.0748253952894009,0.0922894569006036,0.0817488814895994,0.0944640175202044,0.0908106615303998,0.102400097458276,0.102400097458276
"HAS2",-0.13736722841115,0.0023191094619666,-0.0976808905380334,-0.0908106615303998,-0.0908106615303998,-0.0908106615303998,-0.0908106615303998,-0.0908106615303998,-0.0724017914959341,-0.0724017914959341,0.0944640175202044,0.0864831810065076,0.0908106615303998,0.0976808905380334,0.102126124855537,0.102126124855537
