"","TWIST1","MIR34","MIR129","MIR340","MIR190","MIR1199","GRHL2","HA","ZEB1","MIR200","TGFB","CD44s","CD24","HAS2","ESRP1","SNAIL1"
"TWIST1",0.0399390791764356,0.123993124572683,-0.000112199668146267,0.199894889353122,0.199894889353122,0.199894889353122,0.199894889353122,0.20087208805019,-0.200329823243171,-0.0764207820285235,-0.121012674845978,-0.20087208805019,-0.20087208805019,-0.199894889353122,-0.199894889353122,-0.0631692530733656
"MIR129",0.138160836498611,0.1225764322413,-0.00395734745784022,0.20087208805019,0.20087208805019,0.20087208805019,0.20087208805019,0.200126931567329,-0.199894889353122,-0.0790385830756439,-0.118955757404445,-0.200126931567329,-0.200126931567329,-0.20087208805019,-0.20087208805019,-0.0660922666592034
"MIR34",0.134273298344016,0.172889270404958,0.0471480667492103,0.149464580222002,0.149464580222002,0.149464580222002,0.149464580222002,0.150664237462791,-0.150303185489032,0.0216797347210943,-0.00574055873880695,-0.150664237462791,-0.150664237462791,-0.149464580222002,-0.149464580222002,-0.0908818342493315
"MIR190",0.131589620385371,0.16966853199176,0.0391850223145424,0.150664237462791,0.150664237462791,0.150664237462791,0.150664237462791,0.14690483896655,-0.149464580222002,0.0169926438596122,-0.0994342524325006,-0.14690483896655,-0.14690483896655,-0.150664237462791,-0.150664237462791,-0.0971492437200836
"MIR340",0.155821951779083,0.125911637674981,0.0918240382233936,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.075339545950233,-0.0748341790847148,-0.0498269559903933,-0.0617701529051736,-0.075339545950233,-0.075339545950233,-0.0747448135797997,-0.0747448135797997,-0.145923893553961
"MIR1199",0.155821951779083,0.125911637674981,0.0918240382233936,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.075339545950233,-0.0748341790847148,-0.0498269559903933,-0.0617701529051736,-0.075339545950233,-0.075339545950233,-0.0747448135797997,-0.0747448135797997,-0.145923893553961
"CD44s",0.155821951779083,0.125911637674981,0.0918240382233936,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.075339545950233,-0.0748341790847148,-0.0498269559903933,-0.0617701529051736,-0.075339545950233,-0.075339545950233,-0.0747448135797997,-0.0747448135797997,-0.145923893553961
"CD24",0.155821951779083,0.125911637674981,0.0918240382233936,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.0747448135797997,0.075339545950233,-0.0748341790847148,-0.0498269559903933,-0.0617701529051736,-0.075339545950233,-0.075339545950233,-0.0747448135797997,-0.0747448135797997,-0.145923893553961
"HAS2",0.154269440363558,0.125700889519028,0.0915500656206538,0.075339545950233,0.075339545950233,0.075339545950233,0.075339545950233,-0.0218614718614719,-0.0747448135797997,-0.0507753226921846,-0.0643788485573475,-0.0781385281385281,-0.0781385281385281,-0.075339545950233,-0.075339545950233,-0.14573467879521
"ESRP1",0.154269440363558,0.125700889519028,0.0915500656206538,0.075339545950233,0.075339545950233,0.075339545950233,0.075339545950233,0.0781385281385281,-0.0747448135797997,-0.0507753226921846,-0.0643788485573475,0.0218614718614719,-0.0781385281385281,-0.075339545950233,-0.075339545950233,-0.14573467879521
"MIR200",-0.0575413905008764,-0.0136988911363182,-0.0264796770562003,0.0478826081306062,0.0478826081306062,0.0478826081306062,0.0478826081306062,0.0497560258521252,-0.0484273278635178,-0.152044018920926,-0.055616543234228,-0.0497560258521252,-0.0497560258521252,-0.0478826081306062,-0.0478826081306062,0.0231616847136864
"ZEB1",-0.156040088270202,-0.126039585033782,-0.0914189275970302,-0.0748341790847148,-0.0748341790847148,-0.0748341790847148,-0.0748341790847148,-0.0747448135797997,-0.0245037041790114,0.0498086777962789,0.0609571447750923,0.0747448135797997,0.0747448135797997,0.0748341790847148,0.0748341790847148,0.145761080138136
"HA",-0.155821951779083,-0.125911637674981,-0.0918240382233936,-0.0747448135797997,-0.0747448135797997,-0.0747448135797997,-0.0747448135797997,-0.075339545950233,0.0748341790847148,0.0498269559903933,0.0617701529051736,0.075339545950233,0.075339545950233,0.0747448135797997,0.0747448135797997,0.145923893553961
"SNAIL1",-0.13292092028597,-0.170971215474746,-0.0421184359940059,-0.150303185489032,-0.150303185489032,-0.150303185489032,-0.150303185489032,-0.149464580222002,0.149555559706045,-0.0187351151803468,0.00237634615957731,0.149464580222002,0.149464580222002,0.150303185489032,0.150303185489032,-0.00442554443801355
"TGFB",-0.134273298344016,-0.172889270404958,-0.0471480667492103,-0.149464580222002,-0.149464580222002,-0.149464580222002,-0.149464580222002,-0.150664237462791,0.150303185489032,-0.0216797347210943,0.00574055873880695,0.150664237462791,0.150664237462791,0.149464580222002,0.149464580222002,0.0908818342493315
"GRHL2",-0.177137113415965,-0.238685205289951,-0.111678172888525,-0.193641155516868,-0.193641155516868,-0.193641155516868,-0.193641155516868,-0.194787652332155,0.193552933196621,0.151905071837131,0.170684162101338,0.194787652332155,0.094787652332155,0.193641155516868,0.193641155516868,0.170652480647512
