"","MIR340","MIR190","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","MIR34","MIR200","TWIST1","MIR129","TGFB","ZEB1","SNAIL1","MIR1199"
"GRHL2",0.294054194519429,0.294054194519429,0.294054194519429,0.294054194519429,0.294054194519429,0.293926805984398,0.293926805984398,0.393926805984398,0.241179724524993,0.241179724524993,0.132877270792746,0.0867019110235427,0.0159523229316705,-0.294098305679553,-0.123772326845673,-0.294054194519429
"MIR200",0.197660862210847,0.197660862210847,0.197660862210847,0.197660862210847,0.197660862210847,0.197407697653885,0.197407697653885,0.197407697653885,0.243310992600379,0.243310992600379,-0.0480156252571349,-0.0238129303279577,-0.187899513280929,-0.197713577023709,0.00943570215354636,-0.197660862210847
"SNAIL1",0.16773552185685,0.16773552185685,0.16773552185685,0.16773552185685,0.16773552185685,0.167603110498898,0.167603110498898,0.167603110498898,0.146343067797663,0.146343067797663,-0.0773285494242408,-0.0184963212158253,-0.073754855391325,-0.167725418805728,-0.0825011797362989,-0.16773552185685
"MIR340",0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166580983538454,0.166580983538454,0.166580983538454,0.136218211791233,0.136218211791233,0.112815055371703,0.0682973785816654,0.00779619788350717,-0.166695733807297,-0.0993549164056748,-0.166665945305658
"MIR1199",0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166580983538454,0.166580983538454,0.166580983538454,0.136218211791233,0.136218211791233,0.112815055371703,0.0682973785816654,0.00779619788350717,-0.166695733807297,-0.0993549164056748,-0.166665945305658
"CD44s",0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166580983538454,0.166580983538454,0.166580983538454,0.136218211791233,0.136218211791233,0.112815055371703,0.0682973785816654,0.00779619788350717,-0.166695733807297,-0.0993549164056748,-0.166665945305658
"CD24",0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166665945305658,0.166580983538454,0.166580983538454,0.166580983538454,0.136218211791233,0.136218211791233,0.112815055371703,0.0682973785816654,0.00779619788350717,-0.166695733807297,-0.0993549164056748,-0.166665945305658
"ESRP1",0.166580983538454,0.166580983538454,0.166580983538454,0.166580983538454,0.166580983538454,0.166326530612245,0.266326530612245,0.166326530612245,0.135902089557303,0.135902089557303,0.11272373117079,0.0691192963898846,0.00731310609606756,-0.166665945305658,-0.099071094267548,-0.166580983538454
"ZEB1",-0.166695733807297,-0.166695733807297,-0.166695733807297,-0.166695733807297,-0.166695733807297,-0.166665945305658,-0.166665945305658,-0.166665945305658,-0.136126820820661,-0.136126820820661,-0.112721568304081,-0.068453190361036,-0.00763359625749091,0.066705920218624,0.09945260445517,0.166695733807297
"HAS2",-0.166580983538454,-0.166580983538454,-0.166580983538454,-0.166580983538454,-0.166580983538454,-0.0663265306122449,-0.166326530612245,-0.166326530612245,-0.135902089557303,-0.135902089557303,-0.11272373117079,-0.0691192963898846,-0.00731310609606756,0.166665945305658,0.099071094267548,0.166580983538454
"HA",-0.166665945305658,-0.166665945305658,-0.166665945305658,-0.166665945305658,-0.166665945305658,-0.166580983538454,-0.166580983538454,-0.166580983538454,-0.136218211791233,-0.136218211791233,-0.112815055371703,-0.0682973785816654,-0.00779619788350717,0.166695733807297,0.0993549164056748,0.166665945305658
"MIR190",-0.167517420695984,-0.167517420695984,-0.167517420695984,-0.167517420695984,-0.167517420695984,-0.167016167563152,-0.167016167563152,-0.167016167563152,-0.146155748747048,-0.146155748747048,0.077184552116469,0.0180434851139755,0.173813159994268,0.167603110498898,-0.0179984234092321,0.167517420695984
"TGFB",-0.167603110498898,-0.167603110498898,-0.167603110498898,-0.167603110498898,-0.167603110498898,-0.167517420695984,-0.167517420695984,-0.167517420695984,-0.146496151993971,-0.146496151993971,0.0774045257196366,0.0189673742472795,0.0735760808098201,0.16773552185685,-0.0173948950898263,0.167603110498898
"MIR34",-0.167603110498898,-0.167603110498898,-0.167603110498898,-0.167603110498898,-0.167603110498898,-0.167517420695984,-0.167517420695984,-0.167517420695984,-0.146496151993971,-0.146496151993971,0.0774045257196366,0.0189673742472795,0.0735760808098201,0.16773552185685,-0.0173948950898263,0.167603110498898
"MIR129",-0.24012698091544,-0.24012698091544,-0.24012698091544,-0.24012698091544,-0.24012698091544,-0.239828918322296,-0.239828918322296,-0.239828918322296,-0.118273195621107,-0.118273195621107,0.0742797009785684,-0.0378292294596409,-0.00318496760024206,0.240101924538593,0.0182477841728611,0.24012698091544
"TWIST1",-0.240101924538593,-0.240101924538593,-0.240101924538593,-0.240101924538593,-0.240101924538593,-0.24012698091544,-0.24012698091544,-0.24012698091544,-0.11851957689613,-0.11851957689613,-0.0257202990214316,-0.0371229778247992,-0.00355126796654243,0.240154116605398,0.0185085224739452,0.240101924538593
