"","MIR1199","GRHL2","ESRP1","HA","MIR34","SNAIL1","TGFB","ZEB1","TWIST1","MIR129","MIR200","CD44s","CD24","MIR340","MIR190","HAS2"
"MIR1199",0.23155566376706,0.23155566376706,0.23155566376706,0.231300778465446,0.171669355916878,0.103520271232778,0.00851993857726286,-0.232062068294912,-0.135504004993127,-0.135504004993127,-0.204409963782643,-0.231300778465446,-0.231300778465446,-0.23155566376706,-0.23155566376706,-0.23155566376706
"HA",0.23155566376706,0.23155566376706,0.23155566376706,0.231300778465446,0.171669355916878,0.103520271232778,0.00851993857726286,-0.232062068294912,-0.135504004993127,-0.135504004993127,-0.204409963782643,-0.231300778465446,-0.231300778465446,-0.23155566376706,-0.23155566376706,-0.23155566376706
"CD24",0.23155566376706,0.23155566376706,0.23155566376706,0.231300778465446,0.171669355916878,0.103520271232778,0.00851993857726286,-0.232062068294912,-0.135504004993127,-0.135504004993127,-0.204409963782643,-0.231300778465446,-0.231300778465446,-0.23155566376706,-0.23155566376706,-0.23155566376706
"ESRP1",0.231300778465446,0.231300778465446,0.231300778465446,0.225448361162647,0.171142485526993,0.102006553162768,0.0078436100748474,-0.23155566376706,-0.13504738398856,-0.13504738398856,-0.204620711938597,-0.325448361162647,-0.225448361162647,-0.231300778465446,-0.231300778465446,-0.231300778465446
"MIR200",0.167563654271787,0.167563654271787,0.167563654271787,0.168728211233813,0.0429934722194368,0.11786572290347,0.00346530141778941,-0.168459806090448,-0.167093069336154,-0.167093069336154,-0.255002752068261,-0.168728211233813,-0.168728211233813,-0.167563654271787,-0.167563654271787,-0.167563654271787
"TWIST1",0.0876923654588204,0.0876923654588204,0.0876923654588204,0.0881684366189306,0.0593624900738105,-0.00957500893624137,-0.00283731612658851,-0.0891189486181801,0.12542098188111,0.251329586612194,-0.0512238227291864,-0.0881684366189306,-0.0881684366189306,-0.0876923654588204,-0.0876923654588204,-0.0876923654588204
"MIR129",0.0881684366189306,0.0881684366189306,0.0881684366189306,0.084144591611479,0.0601016338988798,-0.00986319337428171,-0.00241466185778039,-0.0876923654588204,0.226153199454332,0.25208815318295,-0.0510698344322969,-0.084144591611479,-0.084144591611479,-0.0881684366189306,-0.0881684366189306,-0.0881684366189306
"GRHL2",0.0565808005881371,0.0565808005881371,0.0565808005881371,0.0578546859384556,0.0324506666277241,0.0775156277989859,0.00627477435155499,-0.0568895787090017,-0.0985515751663921,-0.0985515751663921,-0.055427297639089,-0.0578546859384556,-0.157854685938456,-0.0565808005881371,-0.0565808005881371,-0.0565808005881371
"SNAIL1",0.01605729810317,0.01605729810317,0.01605729810317,0.0174255488020078,-0.0566301812622275,-0.070887562915246,0.0766133407872776,-0.0163805957390561,-0.127866087037633,-0.127866087037633,-0.0729526867740894,-0.0174255488020078,-0.0174255488020078,-0.01605729810317,-0.01605729810317,-0.01605729810317
"MIR34",0.0174255488020078,0.0174255488020078,0.0174255488020078,0.0159688221524791,-0.0558287404697917,0.0288646155162833,0.0768896287768762,-0.01605729810317,-0.128063625405662,-0.128063625405662,-0.0738261671883172,-0.0159688221524791,-0.0159688221524791,-0.0174255488020078,-0.0174255488020078,-0.0174255488020078
"TGFB",-0.0174255488020078,-0.0174255488020078,-0.0174255488020078,-0.0159688221524791,0.0558287404697917,-0.0288646155162833,-0.0768896287768762,0.01605729810317,0.128063625405662,0.128063625405662,0.0738261671883172,0.0159688221524791,0.0159688221524791,0.0174255488020078,0.0174255488020078,0.0174255488020078
"MIR190",-0.0159688221524791,-0.0159688221524791,-0.0159688221524791,-0.0192269675158876,0.0571641685923368,-0.0289574660269611,0.0238216087764666,0.0174255488020078,0.128459577891364,0.128459577891364,0.0733810244808022,0.0192269675158876,0.0192269675158876,0.0159688221524791,0.0159688221524791,0.0159688221524791
"ZEB1",-0.232062068294912,-0.232062068294912,-0.232062068294912,-0.23155566376706,-0.171395183005161,-0.103129519034797,-0.00829229630084009,0.132703812208532,0.136657012160469,0.136657012160469,0.20530559529425,0.23155566376706,0.23155566376706,0.232062068294912,0.232062068294912,0.232062068294912
"HAS2",-0.231300778465446,-0.231300778465446,-0.231300778465446,-0.325448361162647,-0.171142485526993,-0.102006553162768,-0.0078436100748474,0.23155566376706,0.13504738398856,0.13504738398856,0.204620711938597,0.225448361162647,0.225448361162647,0.231300778465446,0.231300778465446,0.231300778465446
"MIR340",-0.23155566376706,-0.23155566376706,-0.23155566376706,-0.231300778465446,-0.171669355916878,-0.103520271232778,-0.00851993857726286,0.232062068294912,0.135504004993127,0.135504004993127,0.204409963782643,0.231300778465446,0.231300778465446,0.23155566376706,0.23155566376706,0.23155566376706
"CD44s",-0.23155566376706,-0.23155566376706,-0.23155566376706,-0.231300778465446,-0.171669355916878,-0.103520271232778,-0.00851993857726286,0.232062068294912,0.135504004993127,0.135504004993127,0.204409963782643,0.231300778465446,0.231300778465446,0.23155566376706,0.23155566376706,0.23155566376706
