"","HA","CD24","MIR340","MIR190","MIR1199","GRHL2","MIR34","MIR200","SNAIL1","TWIST1","MIR129","ZEB1","TGFB","HAS2","ESRP1","CD44s"
"GRHL2",0.487572947897555,0.587572947897555,0.505662119872078,0.505662119872078,0.505662119872078,0.505662119872078,0.350133199349701,0.350133199349701,0.23140039497807,0.15696299532609,-0.15696299532609,-0.510205569364799,-0.401237596671063,-0.505662119872078,-0.505662119872078,-0.487572947897555
"TWIST1",0.345183352908084,0.345183352908084,0.350821037698864,0.350821037698864,0.350821037698864,0.350821037698864,0.158192083607378,0.158192083607378,0.0878046335030586,0.0725860504234475,0.0361186965631671,-0.354561469153282,-0.223917666714313,-0.350821037698864,-0.350821037698864,-0.345183352908084
"MIR129",0.33773178807947,0.33773178807947,0.345183352908084,0.345183352908084,0.345183352908084,0.345183352908084,0.157175760847908,0.157175760847908,0.0885045099954423,0.166100694774912,0.0425795911485712,-0.350821037698864,-0.217746914389715,-0.345183352908084,-0.345183352908084,-0.33773178807947
"HAS2",0.224706246134818,0.324706246134818,0.320889452241688,0.320889452241688,0.320889452241688,0.320889452241688,0.206387657900296,0.206387657900296,0.204968537404676,0.133476923076923,-0.133476923076923,-0.34629302063591,-0.257705783060753,-0.320889452241688,-0.320889452241688,-0.324706246134818
"ESRP1",0.324706246134818,0.324706246134818,0.320889452241688,0.320889452241688,0.320889452241688,0.320889452241688,0.206387657900296,0.206387657900296,0.204968537404676,0.133476923076923,-0.133476923076923,-0.34629302063591,-0.257705783060753,-0.320889452241688,-0.320889452241688,-0.224706246134818
"MIR340",0.320889452241688,0.320889452241688,0.34629302063591,0.34629302063591,0.34629302063591,0.34629302063591,0.219454043569422,0.219454043569422,0.207333721889066,0.138134457323498,-0.138134457323498,-0.343522689983542,-0.253551193688772,-0.34629302063591,-0.34629302063591,-0.320889452241688
"MIR1199",0.320889452241688,0.320889452241688,0.34629302063591,0.34629302063591,0.34629302063591,0.34629302063591,0.219454043569422,0.219454043569422,0.207333721889066,0.138134457323498,-0.138134457323498,-0.343522689983542,-0.253551193688772,-0.34629302063591,-0.34629302063591,-0.320889452241688
"CD44s",0.320889452241688,0.320889452241688,0.34629302063591,0.34629302063591,0.34629302063591,0.34629302063591,0.219454043569422,0.219454043569422,0.207333721889066,0.138134457323498,-0.138134457323498,-0.343522689983542,-0.253551193688772,-0.34629302063591,-0.34629302063591,-0.320889452241688
"CD24",0.320889452241688,0.320889452241688,0.34629302063591,0.34629302063591,0.34629302063591,0.34629302063591,0.219454043569422,0.219454043569422,0.207333721889066,0.138134457323498,-0.138134457323498,-0.343522689983542,-0.253551193688772,-0.34629302063591,-0.34629302063591,-0.320889452241688
"MIR200",0.275891895366048,0.275891895366048,0.295689363720479,0.295689363720479,0.295689363720479,0.295689363720479,0.104411130039507,0.104411130039507,0.172873275364212,0.109007608283016,-0.109007608283016,-0.291700609547223,-0.225662390797318,-0.295689363720479,-0.295689363720479,-0.275891895366048
"MIR34",0.113915477008413,0.113915477008413,0.108174260213211,0.108174260213211,0.108174260213211,0.108174260213211,-0.00883702888889451,-0.00883702888889451,0.0304155689114015,0.044553258771488,-0.044553258771488,-0.114397594036957,-0.002810686983979,-0.108174260213211,-0.108174260213211,-0.113915477008413
"SNAIL1",0.108174260213211,0.108174260213211,0.114397594036957,0.114397594036957,0.114397594036957,0.114397594036957,-0.00428952776327542,-0.00428952776327542,-0.0678336916210151,0.0413774496239421,-0.0413774496239421,-0.111124205473611,0.00260130716521652,-0.114397594036957,-0.114397594036957,-0.108174260213211
"MIR190",0.102386654953275,0.102386654953275,0.113915477008413,0.113915477008413,0.113915477008413,0.113915477008413,-0.00362624072445355,-0.00362624072445355,0.0323190043802966,0.0389659292510305,-0.0389659292510305,-0.108174260213211,-0.0929007770740691,-0.113915477008413,-0.113915477008413,-0.102386654953275
"TGFB",-0.113915477008413,-0.113915477008413,-0.108174260213211,-0.108174260213211,-0.108174260213211,-0.108174260213211,0.00883702888889451,0.00883702888889451,-0.0304155689114015,-0.044553258771488,0.044553258771488,0.114397594036957,0.002810686983979,0.108174260213211,0.108174260213211,0.113915477008413
"ZEB1",-0.34629302063591,-0.34629302063591,-0.343522689983542,-0.343522689983542,-0.343522689983542,-0.343522689983542,-0.216840261811059,-0.216840261811059,-0.210687678255071,-0.138103294967624,0.138103294967624,0.256367754667254,0.271339811574951,0.343522689983542,0.343522689983542,0.34629302063591
"HA",-0.320889452241688,-0.320889452241688,-0.34629302063591,-0.34629302063591,-0.34629302063591,-0.34629302063591,-0.219454043569422,-0.219454043569422,-0.207333721889066,-0.138134457323498,0.138134457323498,0.343522689983542,0.253551193688772,0.34629302063591,0.34629302063591,0.320889452241688
