"","SNAIL1","MIR34","ZEB1","CD24","MIR340","MIR190","HAS2","ESRP1","TGFB","MIR1199","GRHL2","HA","CD44s","MIR200","TWIST1","MIR129"
"MIR129",-0.247987162337639,0.00293657115687235,-0.237019154973738,0.236495584988962,0.236793647582107,0.236793647582107,0.236793647582107,0.236793647582107,-0.078611040687413,-0.236793647582107,-0.236793647582107,-0.236495584988962,-0.236495584988962,-0.00293657115687235,-0.0927293925261947,0.262361863684904
"MIR190",-0.274343279227867,-0.102628258573545,-0.159771985933384,0.159099353194725,0.159600606327557,0.159600606327557,0.159600606327557,0.159600606327557,-0.255333748286181,-0.159600606327557,-0.159600606327557,-0.159099353194725,-0.159099353194725,0.102628258573545,0.13292509458201,0.13292509458201
"MIR200",-0.109480799581936,0.00534595148208352,-0.109097581910763,0.108861988958088,0.10911515351505,0.10911515351505,0.10911515351505,0.10911515351505,-0.202094400315968,-0.10911515351505,-0.10911515351505,-0.108861988958088,-0.108861988958088,-0.00534595148208352,0.0794856219467145,0.0794856219467145
"ZEB1",-0.150202137583174,-0.105406457879818,-0.0589760800996934,-0.0412034216424803,-0.0410544791342885,-0.0410544791342885,-0.0410544791342885,-0.0410544791342885,-0.0234769366929341,0.0410544791342885,0.0410544791342885,0.0412034216424803,0.0412034216424803,0.105406457879818,0.108797442650922,0.108797442650922
"MIR340",0.150104449533679,0.105424736073932,-0.0410544791342885,0.0411184598752756,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0233793757173244,-0.0412034216424803,-0.0412034216424803,-0.0411184598752756,-0.0411184598752756,-0.105424736073932,-0.108766280295047,-0.108766280295047
"HA",0.150104449533679,0.105424736073932,-0.0410544791342885,0.0411184598752756,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0233793757173244,-0.0412034216424803,-0.0412034216424803,-0.0411184598752756,-0.0411184598752756,-0.105424736073932,-0.108766280295047,-0.108766280295047
"CD44s",0.150104449533679,0.105424736073932,-0.0410544791342885,0.0411184598752756,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0233793757173244,-0.0412034216424803,-0.0412034216424803,-0.0411184598752756,-0.0411184598752756,-0.105424736073932,-0.108766280295047,-0.108766280295047
"CD24",0.150104449533679,0.105424736073932,-0.0410544791342885,0.0411184598752756,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0412034216424803,0.0233793757173244,-0.0412034216424803,-0.0412034216424803,-0.0411184598752756,-0.0411184598752756,-0.105424736073932,-0.108766280295047,-0.108766280295047
"GRHL2",0.100241458935617,0.00598338377632475,0.0213430962258983,-0.12133815128056,-0.0212107627455278,-0.0212107627455278,-0.0212107627455278,-0.0212107627455278,0.0111111111111111,0.0212107627455278,0.0212107627455278,0.0213381512805597,0.0213381512805597,-0.00598338377632475,-0.0846667932748039,-0.0846667932748039
"MIR1199",-0.150104449533679,-0.105424736073932,0.0410544791342885,-0.0411184598752756,-0.0412034216424803,-0.0412034216424803,-0.0412034216424803,-0.0412034216424803,-0.0233793757173244,0.0412034216424803,0.0412034216424803,0.0411184598752756,0.0411184598752756,0.105424736073932,0.108766280295047,0.108766280295047
"HAS2",-0.149915234774928,-0.105213987917978,0.0412034216424803,-0.0413729128014842,-0.0411184598752756,-0.0411184598752756,-0.0411184598752756,-0.0411184598752756,-0.0232827573598365,0.0411184598752756,0.0411184598752756,-0.0586270871985158,0.0413729128014842,0.105213987917978,0.108492307692308,0.108492307692308
"ESRP1",-0.149915234774928,-0.105213987917978,0.0412034216424803,-0.0413729128014842,-0.0411184598752756,-0.0411184598752756,-0.0411184598752756,-0.0411184598752756,-0.0232827573598365,0.0411184598752756,0.0411184598752756,0.0413729128014842,-0.0586270871985158,0.105213987917978,0.108492307692308,0.108492307692308
"TGFB",0.274575405504562,0.102706813168989,0.159904397291336,-0.159600606327557,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.159771985933384,0.155570827470628,0.159771985933384,0.159771985933384,0.159600606327557,0.159600606327557,-0.102706813168989,-0.133145068185178,-0.133145068185178
"MIR34",0.274575405504562,0.102706813168989,0.159904397291336,-0.159600606327557,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.159771985933384,0.155570827470628,0.159771985933384,0.159771985933384,0.159600606327557,0.159600606327557,-0.102706813168989,-0.133145068185178,-0.133145068185178
"SNAIL1",0.174679330678437,0.102715818121713,0.159944809495822,-0.159771985933384,-0.159904397291336,-0.159904397291336,-0.159904397291336,-0.159904397291336,0.155684593113404,0.159904397291336,0.159904397291336,0.159771985933384,0.159771985933384,-0.102715818121713,-0.133221044480574,-0.133221044480574
"TWIST1",0.248165562227855,-0.00293657115687235,0.237088744396146,-0.236793647582107,-0.237019154973738,-0.237019154973738,-0.237019154973738,-0.237019154973738,0.0788082793461901,0.237019154973738,0.237019154973738,0.236793647582107,0.236793647582107,0.00293657115687235,-0.00737520998426559,-0.262492651024689
