"","HA","CD44s","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","SNAIL1","ZEB1","MIR129","TWIST1","MIR34","TGFB","MIR340"
"MIR190",0.112033044094755,0.112033044094755,0.112033044094755,0.112283670661171,0.112283670661171,0.112283670661171,0.112283670661171,0.112283670661171,0.175429772096899,-0.135313712081229,-0.111169703223296,0.0433081025416574,0.144447407425376,-0.175429772096899,-0.289036047424405,-0.112283670661171
"MIR34",0.112283670661171,0.112283670661171,0.112283670661171,0.111169703223296,0.111169703223296,0.111169703223296,0.111169703223296,0.111169703223296,0.173099319098732,-0.136335067698685,-0.110537071179748,0.0423842134083534,0.138948067346185,-0.173099319098732,-0.187660988154609,-0.111169703223296
"HAS2",0.206771799628943,0.106771799628942,0.106771799628942,0.11109749937449,0.11109749937449,0.11109749937449,0.11109749937449,0.11109749937449,0.0989043746502848,0.0315852214315838,-0.110162919935237,-0.040391835615365,-0.0640657381833852,-0.0989043746502848,-0.0998589420496114,-0.11109749937449
"ESRP1",0.106771799628942,0.206771799628943,0.106771799628942,0.11109749937449,0.11109749937449,0.11109749937449,0.11109749937449,0.11109749937449,0.0989043746502848,0.0315852214315838,-0.110162919935237,-0.040391835615365,-0.0640657381833852,-0.0989043746502848,-0.0998589420496114,-0.11109749937449
"MIR340",0.11109749937449,0.11109749937449,0.11109749937449,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.100274237663983,0.0316798288109594,-0.109299053387725,-0.0360995981724426,-0.0577643683203716,-0.100274237663983,-0.103820294706616,-0.110162919935237
"MIR1199",0.11109749937449,0.11109749937449,0.11109749937449,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.100274237663983,0.0316798288109594,-0.109299053387725,-0.0360995981724426,-0.0577643683203716,-0.100274237663983,-0.103820294706616,-0.110162919935237
"HA",0.11109749937449,0.11109749937449,0.11109749937449,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.100274237663983,0.0316798288109594,-0.109299053387725,-0.0360995981724426,-0.0577643683203716,-0.100274237663983,-0.103820294706616,-0.110162919935237
"CD44s",0.11109749937449,0.11109749937449,0.11109749937449,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.100274237663983,0.0316798288109594,-0.109299053387725,-0.0360995981724426,-0.0577643683203716,-0.100274237663983,-0.103820294706616,-0.110162919935237
"CD24",0.11109749937449,0.11109749937449,0.11109749937449,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.110162919935237,0.100274237663983,0.0316798288109594,-0.109299053387725,-0.0360995981724426,-0.0577643683203716,-0.100274237663983,-0.103820294706616,-0.110162919935237
"GRHL2",0.000325442639578766,0.000325442639578766,0.100325442639579,0.00210888213002463,0.00210888213002463,0.00210888213002463,0.00210888213002463,0.00210888213002463,0.00803343434201894,-0.0400899558063101,-0.00250588257113623,0.0429765431460935,0.0556982831166091,-0.00803343434201894,-0.0046337366894368,-0.00210888213002463
"MIR129",-0.0124337748344371,-0.0124337748344371,-0.0124337748344371,-0.0101983053858529,-0.0101983053858529,-0.0101983053858529,-0.0101983053858529,-0.0101983053858529,-0.0840095882090038,0.139139739883202,0.00912088118139285,-0.1235941005181,-0.0401184203316115,0.0840095882090038,0.0639637047592497,0.0101983053858529
"TWIST1",-0.0101983053858529,-0.0101983053858529,-0.0101983053858529,-0.00912088118139285,-0.00912088118139285,-0.00912088118139285,-0.00912088118139285,-0.00912088118139285,-0.0813301918431276,0.140635554347316,0.00926006002620844,-0.121736920293146,-0.133423859662156,0.0813301918431276,0.0604979397550232,0.00912088118139285
"ZEB1",-0.110162919935237,-0.110162919935237,-0.110162919935237,-0.109299053387725,-0.109299053387725,-0.109299053387725,-0.109299053387725,-0.109299053387725,-0.0997076136464364,-0.032591583939582,0.0103482537544354,0.038312125439504,0.0563620623060369,0.0997076136464364,0.104308099584665,0.109299053387725
"MIR200",-0.0700015699713365,-0.0700015699713365,-0.0700015699713365,-0.0693433421232352,-0.0693433421232352,-0.0693433421232352,-0.0693433421232352,-0.0693433421232352,0.0278083075204035,-0.133411278670047,0.0692906273103728,0.0722957378429623,0.149384345616467,-0.0278083075204035,-0.129176542425735,0.0693433421232352
"TGFB",-0.112283670661171,-0.112283670661171,-0.112283670661171,-0.111169703223296,-0.111169703223296,-0.111169703223296,-0.111169703223296,-0.111169703223296,-0.173099319098732,0.136335067698685,0.110537071179748,-0.0423842134083534,-0.138948067346185,0.173099319098732,0.187660988154609,0.111169703223296
"SNAIL1",-0.111169703223296,-0.111169703223296,-0.111169703223296,-0.110537071179748,-0.110537071179748,-0.110537071179748,-0.110537071179748,-0.110537071179748,-0.173108324051456,0.0381657496077103,0.110739132202176,-0.0449522121927327,-0.139297558305006,0.173108324051456,0.185791981166148,0.110537071179748
