"","ZEB1","TWIST1","MIR34","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD44s","TGFB","HA","CD24","SNAIL1","GRHL2","MIR200","MIR129"
"TWIST1",-0.141970850463602,0.0191193425011605,0.0586021356930203,0.13106270850118,0.13106270850118,0.13106270850118,0.13106270850118,0.13106270850118,0.1182588999319,-0.00260771594166123,-0.1182588999319,-0.1182588999319,-0.000216563736688253,-0.13106270850118,-0.0586021356930203,-0.0448935928662775
"GRHL2",-0.114717780985699,0.0935113737049088,0.106673430109908,0.091338866120238,0.091338866120238,0.091338866120238,0.091338866120238,0.091338866120238,0.0733770826807476,-0.00773252065462419,-0.0733770826807476,0.0266229173192524,-0.0577222923336025,-0.091338866120238,-0.106673430109908,-0.0935113737049088
"ZEB1",-0.0741966242129312,-0.066884515586547,-0.0582302697335979,-0.0430693429868243,-0.0430693429868243,-0.0430693429868243,-0.0430693429868243,-0.0430693429868243,-0.0231408353907564,-0.0031243856756495,0.0231408353907564,0.0231408353907564,0.0426614235985684,0.0430693429868243,0.0582302697335979,0.066884515586547
"CD24",-0.0430693429868243,0.0709044594943064,0.0457828195416769,0.0231408353907564,0.0231408353907564,0.0231408353907564,0.0231408353907564,0.0231408353907564,-0.0100792155863039,-0.00126585822678953,0.0100792155863039,0.0100792155863039,-0.0318831754709227,-0.0231408353907564,-0.0457828195416769,-0.0709044594943064
"MIR200",-0.0332546058232131,-0.069835065726944,0.128767408072256,0.0172820175259016,0.0172820175259016,0.0172820175259016,0.0172820175259016,0.0172820175259016,0.00487695423476231,-0.0141453420228902,-0.00487695423476231,-0.00487695423476231,0.0261074691552077,-0.0172820175259016,-0.128767408072256,0.069835065726944
"HAS2",-0.0231408353907564,0.0815893910011557,0.0180694370337739,-0.0100792155863039,-0.0100792155863039,-0.0100792155863039,-0.0100792155863039,-0.0100792155863039,0.0176561533704391,-0.00194218672920498,-0.117656153370439,-0.0176561533704391,-0.0324508197471763,0.0100792155863039,-0.0180694370337739,-0.0815893910011557
"SNAIL1",-0.00777871311827387,-0.0872103353780598,0.0507386899103627,0.0123857044296499,0.0123857044296499,0.0123857044296499,0.0123857044296499,0.0123857044296499,0.000571668825706988,0.060636096680238,-0.000571668825706988,-0.000571668825706988,-0.116209472853111,-0.0123857044296499,-0.0507386899103627,0.0872103353780598
"MIR190",-0.000571668825706988,-0.0807780411539897,0.033311590473072,-0.00971110752390741,-0.00971110752390741,-0.00971110752390741,-0.00971110752390741,-0.00971110752390741,0.00858463182446352,-0.0406165044286591,-0.00858463182446352,-0.00858463182446352,-0.0143337574443429,0.00971110752390741,-0.033311590473072,0.0807780411539897
"TGFB",0.0123857044296499,0.0844296029665722,-0.0426072176005923,-0.000571668825706988,-0.000571668825706988,-0.000571668825706988,-0.000571668825706988,-0.000571668825706988,0.00971110752390741,-0.0587670896917771,-0.00971110752390741,-0.00971110752390741,0.0120124946773977,0.000571668825706988,0.0426072176005923,-0.0844296029665722
"MIR34",0.0123857044296499,0.0844296029665722,-0.0426072176005923,-0.000571668825706988,-0.000571668825706988,-0.000571668825706988,-0.000571668825706988,-0.000571668825706988,0.00971110752390741,-0.0587670896917771,-0.00971110752390741,-0.00971110752390741,0.0120124946773977,0.000571668825706988,0.0426072176005923,-0.0844296029665722
"ESRP1",0.0231408353907564,-0.0815893910011557,-0.0180694370337739,0.0100792155863039,0.0100792155863039,0.0100792155863039,0.0100792155863039,0.0100792155863039,0.0823438466295609,0.00194218672920498,0.0176561533704391,0.0176561533704391,0.0324508197471763,-0.0100792155863039,0.0180694370337739,0.0815893910011557
"MIR340",0.0430693429868243,-0.0709044594943064,-0.0457828195416769,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,0.0100792155863039,0.00126585822678953,-0.0100792155863039,-0.0100792155863039,0.0318831754709227,0.0231408353907564,0.0457828195416769,0.0709044594943064
"MIR1199",0.0430693429868243,-0.0709044594943064,-0.0457828195416769,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,0.0100792155863039,0.00126585822678953,-0.0100792155863039,-0.0100792155863039,0.0318831754709227,0.0231408353907564,0.0457828195416769,0.0709044594943064
"HA",0.0430693429868243,-0.0709044594943064,-0.0457828195416769,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,0.0100792155863039,0.00126585822678953,-0.0100792155863039,-0.0100792155863039,0.0318831754709227,0.0231408353907564,0.0457828195416769,0.0709044594943064
"CD44s",0.0430693429868243,-0.0709044594943064,-0.0457828195416769,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,-0.0231408353907564,0.0100792155863039,0.00126585822678953,-0.0100792155863039,-0.0100792155863039,0.0318831754709227,0.0231408353907564,0.0457828195416769,0.0709044594943064
"MIR129",0.13106270850118,-0.123408045430031,-0.0475149783169809,-0.1182588999319,-0.1182588999319,-0.1182588999319,-0.1182588999319,-0.1182588999319,-0.134503311258278,0.00235412338037636,0.134503311258278,0.134503311258278,0.00163003978993376,0.1182588999319,0.0475149783169809,0.0492095750791993
