"","TWIST1","MIR34","HA","CD44s","MIR190","MIR1199","GRHL2","ZEB1","MIR200","TGFB","MIR340","HAS2","ESRP1","CD24","SNAIL1","MIR129"
"GRHL2",0.337388361643449,0.353827573151692,0.283264077206486,0.283264077206486,0.27944242115553,0.27944242115553,0.27944242115553,-0.275781194865279,-0.166371960538749,-0.0515285342125139,-0.27944242115553,-0.27944242115553,-0.27944242115553,-0.383264077206486,-0.323606186077771,-0.337388361643449
"SNAIL1",-0.638983674604971,-0.183827050778253,0.247778403465882,0.247778403465882,0.253942887797205,0.253942887797205,0.253942887797205,-0.258600394364188,-0.458211204663181,0.238826245752229,-0.253942887797205,-0.253942887797205,-0.253942887797205,-0.247778403465882,0.506865855962602,0.638983674604971
"TGFB",-0.618606832179808,-0.180972480764745,0.239809251794931,0.239809251794931,0.247778403465882,0.247778403465882,0.247778403465882,-0.253942887797205,-0.447810484266963,0.233414251603033,-0.247778403465882,-0.247778403465882,-0.247778403465882,-0.239809251794931,0.59377927829852,0.618606832179808
"ESRP1",0.299875081780964,0.22627215481273,0.159059987631416,0.0590599876314162,0.154225382033452,0.154225382033452,0.154225382033452,-0.150741949578057,-0.0614598247998191,-0.0443295491977034,-0.154225382033452,-0.154225382033452,-0.154225382033452,-0.159059987631416,-0.28894341854801,-0.299875081780964
"MIR340",0.320057730182791,0.230803240165733,0.154225382033452,0.154225382033452,0.150741949578057,0.150741949578057,0.150741949578057,-0.147018386873261,-0.0526084022497664,-0.0494503221445633,-0.150741949578057,-0.150741949578057,-0.150741949578057,-0.154225382033452,-0.302188451660593,-0.320057730182791
"MIR1199",0.320057730182791,0.230803240165733,0.154225382033452,0.154225382033452,0.150741949578057,0.150741949578057,0.150741949578057,-0.147018386873261,-0.0526084022497664,-0.0494503221445633,-0.150741949578057,-0.150741949578057,-0.150741949578057,-0.154225382033452,-0.302188451660593,-0.320057730182791
"HA",0.320057730182791,0.230803240165733,0.154225382033452,0.154225382033452,0.150741949578057,0.150741949578057,0.150741949578057,-0.147018386873261,-0.0526084022497664,-0.0494503221445633,-0.150741949578057,-0.150741949578057,-0.150741949578057,-0.154225382033452,-0.302188451660593,-0.320057730182791
"MIR129",-0.683785585944147,-0.211837193609735,0.0365562913907285,0.0365562913907285,0.0462433256679267,0.0462433256679267,0.0462433256679267,-0.0529333782863181,-0.264033413990088,0.145821239075018,-0.0462433256679267,-0.0462433256679267,-0.0462433256679267,-0.0365562913907285,0.570196805051433,0.68453365953316
"ZEB1",-0.335670070475717,-0.233636360253469,-0.150741949578057,-0.150741949578057,-0.147018386873261,-0.147018386873261,-0.147018386873261,0.0440948868223287,0.0452057336334257,0.0535804034453763,0.147018386873261,0.147018386873261,0.147018386873261,0.150741949578057,0.312608510273423,0.335670070475717
"TWIST1",0.610720732387662,0.216610830813307,-0.0462433256679267,-0.0462433256679267,-0.0529333782863181,-0.0529333782863181,-0.0529333782863181,0.0587962871241747,0.277030026247557,-0.152837299937233,0.0529333782863181,0.0529333782863181,0.0529333782863181,0.0462433256679267,-0.587556486676245,-0.711449694061017
"CD44s",-0.320057730182791,-0.230803240165733,-0.154225382033452,-0.154225382033452,-0.150741949578057,-0.150741949578057,-0.150741949578057,0.147018386873261,0.0526084022497664,0.0494503221445633,0.150741949578057,0.150741949578057,0.150741949578057,0.154225382033452,0.302188451660593,0.320057730182791
"CD24",-0.320057730182791,-0.230803240165733,-0.154225382033452,-0.154225382033452,-0.150741949578057,-0.150741949578057,-0.150741949578057,0.147018386873261,0.0526084022497664,0.0494503221445633,0.150741949578057,0.150741949578057,0.150741949578057,0.154225382033452,0.302188451660593,0.320057730182791
"HAS2",-0.299875081780964,-0.22627215481273,-0.259059987631416,-0.159059987631416,-0.154225382033452,-0.154225382033452,-0.154225382033452,0.150741949578057,0.0614598247998191,0.0443295491977034,0.154225382033452,0.154225382033452,0.154225382033452,0.159059987631416,0.28894341854801,0.299875081780964
"MIR200",0.207222756961274,-0.0517810432749167,-0.213348699527671,-0.213348699527671,-0.215627180540329,-0.215627180540329,-0.215627180540329,0.216699048401865,0.301373498222221,-0.2154087104406,0.215627180540329,0.215627180540329,0.215627180540329,0.213348699527671,-0.15923621565098,-0.207222756961274
"MIR190",0.591990026196526,0.177123305587998,-0.229032309439042,-0.229032309439042,-0.239809251794931,-0.239809251794931,-0.239809251794931,0.247778403465882,0.43422053925518,-0.326349291906494,0.239809251794931,0.239809251794931,0.239809251794931,0.229032309439042,-0.576694784333803,-0.591990026196526
"MIR34",0.618606832179808,0.180972480764745,-0.239809251794931,-0.239809251794931,-0.247778403465882,-0.247778403465882,-0.247778403465882,0.253942887797205,0.447810484266963,-0.233414251603033,0.247778403465882,0.247778403465882,0.247778403465882,0.239809251794931,-0.59377927829852,-0.618606832179808
