"","MIR340","HAS2","GRHL2","ESRP1","HA","CD44s","MIR200","MIR34","TGFB","MIR129","SNAIL1","TWIST1","ZEB1","CD24","MIR190","MIR1199"
"GRHL2",0.373158185831144,0.373158185831144,0.373158185831144,0.373158185831144,0.368190032964902,0.368190032964902,0.346486534154706,0.294675682350947,-0.0144434231507439,-0.0830172146083283,-0.117030741828326,-0.12590298407207,-0.376334189360037,-0.468190032964902,-0.373158185831144,-0.373158185831144
"MIR340",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.224144848711096,0.195490225978779,-0.00690695924490792,-0.0649338131114118,-0.0922007636677641,-0.105936011879606,-0.266567592732724,-0.259574558484046,-0.263737685077079,-0.263737685077079
"MIR1199",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.224144848711096,0.195490225978779,-0.00690695924490792,-0.0649338131114118,-0.0922007636677641,-0.105936011879606,-0.266567592732724,-0.259574558484046,-0.263737685077079,-0.263737685077079
"HA",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.224144848711096,0.195490225978779,-0.00690695924490792,-0.0649338131114118,-0.0922007636677641,-0.105936011879606,-0.266567592732724,-0.259574558484046,-0.263737685077079,-0.263737685077079
"CD44s",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.224144848711096,0.195490225978779,-0.00690695924490792,-0.0649338131114118,-0.0922007636677641,-0.105936011879606,-0.266567592732724,-0.259574558484046,-0.263737685077079,-0.263737685077079
"HAS2",0.259574558484046,0.259574558484046,0.259574558484046,0.259574558484046,0.352195423623995,0.252195423623995,0.220983626371791,0.193488118497219,-0.00681034088741999,-0.0637465984995397,-0.0912546898740081,-0.105296742473213,-0.263737685077079,-0.252195423623995,-0.259574558484046,-0.259574558484046
"ESRP1",0.259574558484046,0.259574558484046,0.259574558484046,0.259574558484046,0.252195423623995,0.352195423623995,0.220983626371791,0.193488118497219,-0.00681034088741999,-0.0637465984995397,-0.0912546898740081,-0.105296742473213,-0.263737685077079,-0.252195423623995,-0.259574558484046,-0.259574558484046
"MIR200",0.19298677905994,0.19298677905994,0.19298677905994,0.19298677905994,0.190910829692852,0.190910829692852,0.249939492053539,0.0621146230974906,-0.195218285521096,-0.0575414944263788,-0.0918257205670301,-0.112305494493132,-0.19437493579865,-0.190910829692852,-0.19298677905994,-0.19298677905994
"SNAIL1",0.095953722009876,0.095953722009876,0.095953722009876,0.095953722009876,0.0955859126822315,0.0955859126822315,0.00645406133080694,0.0935317156926746,0.0623272910615132,0.00992294202029491,-0.110624053809638,0.057542973457456,-0.0962265043901549,-0.0955859126822315,-0.095953722009876,-0.095953722009876
"TGFB",0.0955859126822315,0.0955859126822315,0.0955859126822315,0.0955859126822315,0.0949003942589238,0.0949003942589238,0.00594077902553904,0.0935947503617425,0.0625385701123827,0.0106675097151741,-0.0108398984015321,0.0585610558157602,-0.095953722009876,-0.0949003942589238,-0.0955859126822315,-0.0955859126822315
"TWIST1",0.0417965847385883,0.0417965847385883,0.0417965847385883,0.0417965847385883,0.0411701753173906,0.0411701753173906,0.0270769921109976,0.0234823961844082,-0.00124511389672641,-0.113350275491556,-0.0021901644611917,-0.0691714997032233,-0.0422663133398409,-0.0411701753173906,-0.0417965847385883,-0.0417965847385883
"MIR129",0.0411701753173906,0.0411701753173906,0.0411701753173906,0.0411701753173906,0.0399779249448124,0.0399779249448124,0.026676622539085,0.0231128242718735,-0.000597044017887296,-0.11395189725457,-0.00267047185792561,0.0319791279118394,-0.0417965847385883,-0.0399779249448124,-0.0411701753173906,-0.0411701753173906
"MIR190",-0.0949003942589238,-0.0949003942589238,-0.0949003942589238,-0.0949003942589238,-0.0938978879932597,-0.0938978879932597,-0.00518141793624865,-0.0935161957662987,-0.16182733255904,-0.0122073249373474,0.0100970943161096,-0.0578131455649903,0.0955859126822315,0.0938978879932597,0.0949003942589238,0.0949003942589238
"MIR34",-0.0955859126822315,-0.0955859126822315,-0.0955859126822315,-0.0955859126822315,-0.0949003942589238,-0.0949003942589238,-0.00594077902553904,-0.0935947503617425,-0.0625385701123827,-0.0106675097151741,0.0108398984015321,-0.0585610558157602,0.095953722009876,0.0949003942589238,0.0955859126822315,0.0955859126822315
"ZEB1",-0.266567592732724,-0.266567592732724,-0.266567592732724,-0.266567592732724,-0.263737685077079,-0.263737685077079,-0.226246841034254,-0.196861090537361,0.00726468282214369,0.0653389237377752,0.0923961397667546,0.106964369623451,0.168289096247036,0.263737685077079,0.266567592732724,0.266567592732724
"CD24",-0.263737685077079,-0.263737685077079,-0.263737685077079,-0.263737685077079,-0.259574558484046,-0.259574558484046,-0.224144848711096,-0.195490225978779,0.00690695924490792,0.0649338131114118,0.0922007636677641,0.105936011879606,0.266567592732724,0.259574558484046,0.263737685077079,0.263737685077079
