"","MIR34","MIR200","HAS2","GRHL2","ESRP1","HA","CD44s","MIR129","ZEB1","SNAIL1","TWIST1","CD24","MIR340","MIR190","MIR1199","TGFB"
"MIR1199",0.276447861260584,0.276447861260584,0.265438941114396,0.265438941114396,0.265438941114396,0.260426196849316,0.260426196849316,0.25819515783706,-0.268209271766765,-0.227054326065056,-0.25819515783706,-0.260426196849316,-0.265438941114396,-0.265438941114396,-0.265438941114396,-0.266114079940696
"HA",0.276447861260584,0.276447861260584,0.265438941114396,0.265438941114396,0.265438941114396,0.260426196849316,0.260426196849316,0.25819515783706,-0.268209271766765,-0.227054326065056,-0.25819515783706,-0.260426196849316,-0.265438941114396,-0.265438941114396,-0.265438941114396,-0.266114079940696
"CD44s",0.276447861260584,0.276447861260584,0.265438941114396,0.265438941114396,0.265438941114396,0.260426196849316,0.260426196849316,0.25819515783706,-0.268209271766765,-0.227054326065056,-0.25819515783706,-0.260426196849316,-0.265438941114396,-0.265438941114396,-0.265438941114396,-0.266114079940696
"CD24",0.276447861260584,0.276447861260584,0.265438941114396,0.265438941114396,0.265438941114396,0.260426196849316,0.260426196849316,0.25819515783706,-0.268209271766765,-0.227054326065056,-0.25819515783706,-0.260426196849316,-0.265438941114396,-0.265438941114396,-0.265438941114396,-0.266114079940696
"HAS2",0.270968409205789,0.270968409205789,0.260426196849316,0.260426196849316,0.260426196849316,0.353555967841682,0.253555967841682,0.249336710348475,-0.265438941114396,-0.221945527578774,-0.249336710348475,-0.253555967841682,-0.260426196849316,-0.260426196849316,-0.260426196849316,-0.258094756269198
"ESRP1",0.270968409205789,0.270968409205789,0.260426196849316,0.260426196849316,0.260426196849316,0.253555967841682,0.353555967841682,0.249336710348475,-0.265438941114396,-0.221945527578774,-0.249336710348475,-0.253555967841682,-0.260426196849316,-0.260426196849316,-0.260426196849316,-0.258094756269198
"MIR200",0.338161164652315,0.338161164652315,0.229931659815568,0.229931659815568,0.229931659815568,0.225121533233289,0.225121533233289,0.270545380563653,-0.231284673345703,-0.227202636246592,-0.270545380563653,-0.225121533233289,-0.229931659815568,-0.229931659815568,-0.229931659815568,-0.432208925634854
"MIR34",0.166447016845012,0.166447016845012,0.111294382780776,0.111294382780776,0.111294382780776,0.111979901204084,0.111979901204084,0.21582425665348,-0.112927456195518,-0.121273461315369,-0.21582425665348,-0.111979901204084,-0.111294382780776,-0.111294382780776,-0.111294382780776,-0.180752462748434
"GRHL2",0.0897008320151117,0.0897008320151117,0.0752174949125628,0.0752174949125628,0.0752174949125628,0.0731792783520532,0.0731792783520532,0.165836089517643,-0.0759673846346625,-0.140057804532862,-0.165836089517643,-0.173179278352053,-0.0752174949125628,-0.0752174949125628,-0.0752174949125628,-0.0815558217402463
"TWIST1",0.0232431999885457,0.0232431999885457,0.0544532458681355,0.0544532458681355,0.0544532458681355,0.0516719880380178,0.0516719880380178,-0.284707799342223,-0.0541574908229024,0.0348504472099188,0.154312945191411,-0.0516719880380178,-0.0544532458681355,-0.0544532458681355,-0.0544532458681355,-0.0341999380968844
"MIR129",-0.0223192702072091,-0.0223192702072091,-0.0516719880380178,-0.0516719880380178,-0.0516719880380178,-0.052864238410596,-0.052864238410596,0.284420067194695,0.0544532458681355,-0.0373068764675008,-0.25399913766003,0.052864238410596,0.0516719880380178,0.0516719880380178,0.0516719880380178,0.0336082221205531
"MIR190",-0.164902109801283,-0.164902109801283,-0.111979901204084,-0.111979901204084,-0.111979901204084,-0.107468623008595,-0.107468623008595,-0.211644758193296,0.111294382780776,0.121691288613419,0.211644758193296,0.107468623008595,0.111979901204084,0.111979901204084,0.111979901204084,0.277765265024395
"SNAIL1",-0.167284477448344,-0.167284477448344,-0.112927456195518,-0.112927456195518,-0.112927456195518,-0.111294382780776,-0.111294382780776,-0.216994291602576,0.112755704326453,0.0231521086892597,0.216994291602576,0.111294382780776,0.112927456195518,0.112927456195518,0.112927456195518,0.181451308839772
"TGFB",-0.166447016845012,-0.166447016845012,-0.111294382780776,-0.111294382780776,-0.111294382780776,-0.111979901204084,-0.111979901204084,-0.21582425665348,0.112927456195518,0.121273461315369,0.21582425665348,0.111979901204084,0.111294382780776,0.111294382780776,0.111294382780776,0.180752462748434
"ZEB1",-0.280121778277582,-0.280121778277582,-0.268209271766765,-0.268209271766765,-0.268209271766765,-0.265438941114396,-0.265438941114396,-0.264583440791251,0.17025674044355,0.229919842183584,0.264583440791251,0.265438941114396,0.268209271766765,0.268209271766765,0.268209271766765,0.271414892948826
"MIR340",-0.276447861260584,-0.276447861260584,-0.265438941114396,-0.265438941114396,-0.265438941114396,-0.260426196849316,-0.260426196849316,-0.25819515783706,0.268209271766765,0.227054326065056,0.25819515783706,0.260426196849316,0.265438941114396,0.265438941114396,0.265438941114396,0.266114079940696
