"","MIR1199","HAS2","GRHL2","ESRP1","MIR34","SNAIL1","TWIST1","TGFB","ZEB1","MIR129","MIR200","HA","CD44s","CD24","MIR340","MIR190"
"MIR340",0.172907176191963,0.172907176191963,0.172907176191963,0.172907176191963,0.169530645657178,0.0967022841737445,0.0676665313735419,0.00651888782058991,-0.173830619742752,-0.110366280295047,-0.169530645657178,-0.173162061493577,-0.173162061493577,-0.173162061493577,-0.172907176191963,-0.172907176191963
"MIR1199",0.172907176191963,0.172907176191963,0.172907176191963,0.172907176191963,0.169530645657178,0.0967022841737445,0.0676665313735419,0.00651888782058991,-0.173830619742752,-0.110366280295047,-0.169530645657178,-0.173162061493577,-0.173162061493577,-0.173162061493577,-0.172907176191963,-0.172907176191963
"CD44s",0.172907176191963,0.172907176191963,0.172907176191963,0.172907176191963,0.169530645657178,0.0967022841737445,0.0676665313735419,0.00651888782058991,-0.173830619742752,-0.110366280295047,-0.169530645657178,-0.173162061493577,-0.173162061493577,-0.173162061493577,-0.172907176191963,-0.172907176191963
"CD24",0.172907176191963,0.172907176191963,0.172907176191963,0.172907176191963,0.169530645657178,0.0967022841737445,0.0676665313735419,0.00651888782058991,-0.173830619742752,-0.110366280295047,-0.169530645657178,-0.173162061493577,-0.173162061493577,-0.173162061493577,-0.172907176191963,-0.172907176191963
"HAS2",0.173162061493577,0.173162061493577,0.173162061493577,0.173162061493577,0.169003775267294,0.0970807136912469,0.0664793167616697,0.00719521632300537,-0.172907176191963,-0.110092307692308,-0.169003775267294,-0.270871985157699,-0.170871985157699,-0.170871985157699,-0.173162061493577,-0.173162061493577
"SNAIL1",0.1050037358379,0.1050037358379,0.1050037358379,0.1050037358379,0.122546280240878,-0.0640937061799181,0.0254559169468584,0.0783134086712499,-0.10507445719575,-0.0914214814485338,-0.122546280240878,-0.104783050241313,-0.104783050241313,-0.104783050241313,-0.1050037358379,-0.1050037358379
"MIR34",0.104783050241313,0.104783050241313,0.104783050241313,0.104783050241313,0.122069017746506,0.0363140002714369,0.0248025208064542,0.0786547055995776,-0.1050037358379,-0.0912847241168213,-0.122069017746506,-0.105125809452967,-0.105125809452967,-0.105125809452967,-0.104783050241313,-0.104783050241313
"GRHL2",0.0363318785718826,0.0363318785718826,0.0363318785718826,0.0363318785718826,0.0418173615542956,0.0735766785371771,0.0614301956448824,0.00502408552445346,-0.0370817682939823,-0.0854635964620166,-0.0418173615542956,-0.0370962097820737,-0.0370962097820737,-0.137096209782074,-0.0363318785718826,-0.0363318785718826
"ZEB1",-0.173830619742752,-0.173830619742752,-0.173830619742752,-0.173830619742752,-0.16995104412181,-0.0968976602727351,-0.0673237454589267,-0.00694165204823219,0.0735963322822248,0.110522092074418,0.16995104412181,0.172907176191963,0.172907176191963,0.172907176191963,0.173830619742752,0.173830619742752
"MIR190",-0.105125809452967,-0.105125809452967,-0.105125809452967,-0.105125809452967,-0.122828378835797,-0.0354319204199977,-0.0260783677048264,0.0219617002799862,0.104783050241313,0.091504697719989,0.122828378835797,0.103120796921638,0.103120796921638,0.103120796921638,0.105125809452967,0.105125809452967
"TGFB",-0.104783050241313,-0.104783050241313,-0.104783050241313,-0.104783050241313,-0.122069017746506,-0.0363140002714369,-0.0248025208064542,-0.0786547055995776,0.1050037358379,0.0912847241168213,0.122069017746506,0.105125809452967,0.105125809452967,0.105125809452967,0.104783050241313,0.104783050241313
"MIR200",-0.13707490137751,-0.13707490137751,-0.13707490137751,-0.13707490137751,-0.0415161056654297,0.0184617162536993,0.0277641630927498,-0.00960361447627544,0.137760193944721,-0.0557566400613468,0.0415161056654297,0.138036926693965,0.138036926693965,0.138036926693965,0.13707490137751,0.13707490137751
"ESRP1",-0.173162061493577,-0.173162061493577,-0.173162061493577,-0.173162061493577,-0.169003775267294,-0.0970807136912469,-0.0664793167616697,-0.00719521632300537,0.172907176191963,0.110092307692308,0.169003775267294,0.170871985157699,0.0708719851576994,0.170871985157699,0.173162061493577,0.173162061493577
"HA",-0.172907176191963,-0.172907176191963,-0.172907176191963,-0.172907176191963,-0.169530645657178,-0.0967022841737445,-0.0676665313735419,-0.00651888782058991,0.173830619742752,0.110366280295047,0.169530645657178,0.173162061493577,0.173162061493577,0.173162061493577,0.172907176191963,0.172907176191963
"MIR129",-0.225143709925221,-0.225143709925221,-0.225143709925221,-0.225143709925221,-0.123995615876964,-0.0253710621429828,0.0929394833458791,-0.00587659695853809,0.224968315287286,0.0250016562501387,0.123995615876964,0.223802428256071,0.223802428256071,0.223802428256071,0.225143709925221,0.225143709925221
"TWIST1",-0.224968315287286,-0.224968315287286,-0.224968315287286,-0.224968315287286,-0.123749234601941,-0.0256866927179793,-0.00664210661227991,-0.00607383561731521,0.225211878265713,0.0250278137180958,0.123749234601941,0.225143709925221,0.225143709925221,0.225143709925221,0.224968315287286,0.224968315287286
