"","HA","MIR340","MIR1199","MIR34","MIR200","TWIST1","MIR129","TGFB","ZEB1","SNAIL1","MIR190","HAS2","GRHL2","ESRP1","CD44s","CD24"
"ESRP1",0.192145949288806,0.179168850052165,0.179168850052165,0.177858660332763,0.177858660332763,0.0787181681064034,0.0787181681064034,0.0124725173406715,-0.193697312244179,-0.12833065806997,-0.179168850052165,-0.179168850052165,-0.179168850052165,-0.179168850052165,-0.0921459492888064,-0.192145949288806
"MIR1199",0.179168850052165,0.193697312244179,0.193697312244179,0.194086268341193,0.194086268341193,0.0990834649100564,0.0990834649100564,0.00793145453873913,-0.183599010188772,-0.114328765922383,-0.193697312244179,-0.193697312244179,-0.193697312244179,-0.193697312244179,-0.179168850052165,-0.179168850052165
"HA",0.179168850052165,0.193697312244179,0.193697312244179,0.194086268341193,0.194086268341193,0.0990834649100564,0.0990834649100564,0.00793145453873913,-0.183599010188772,-0.114328765922383,-0.193697312244179,-0.193697312244179,-0.193697312244179,-0.193697312244179,-0.179168850052165,-0.179168850052165
"CD44s",0.179168850052165,0.193697312244179,0.193697312244179,0.194086268341193,0.194086268341193,0.0990834649100564,0.0990834649100564,0.00793145453873913,-0.183599010188772,-0.114328765922383,-0.193697312244179,-0.193697312244179,-0.193697312244179,-0.193697312244179,-0.179168850052165,-0.179168850052165
"MIR200",0.180534348203939,0.175521689976091,0.175521689976091,0.263169954938215,0.263169954938215,0.0923784643840091,0.0923784643840091,0.21379708449968,-0.18109188853522,-0.146987065256731,-0.175521689976091,-0.175521689976091,-0.175521689976091,-0.175521689976091,-0.180534348203939,-0.180534348203939
"TWIST1",0.036137671361317,0.0612692173397685,0.0612692173397685,0.0746779321983584,0.0746779321983584,0.08297493167777,-0.0189509167582156,0.010663690365667,-0.0411230795527121,-0.0715114639682647,-0.0612692173397685,-0.0612692173397685,-0.0612692173397685,-0.0612692173397685,-0.036137671361317,-0.036137671361317
"SNAIL1",0.0337786678705669,0.0572449029742891,0.0572449029742891,-0.046469012421617,-0.046469012421617,-0.0410012302089982,-0.0410012302089982,-0.0933794093672409,-0.037665189900941,-0.022830644210663,-0.0572449029742891,-0.0572449029742891,-0.0572449029742891,-0.0572449029742891,-0.0337786678705669,-0.0337786678705669
"MIR190",-0.0280503367600142,-0.0618849232261796,-0.0618849232261796,0.0412590566081348,0.0412590566081348,0.0343505734936998,0.0343505734936998,0.195155318561868,0.0337786678705669,-0.0822354834791645,0.0618849232261796,0.0618849232261796,0.0618849232261796,0.0618849232261796,0.0280503367600142,0.0280503367600142
"TGFB",-0.0618849232261796,-0.0337786678705669,-0.0337786678705669,0.0729165585719997,0.0729165585719997,0.0756616161685788,0.0756616161685788,0.0843919235879463,0.0572449029742891,-0.0510841371467596,0.0337786678705669,0.0337786678705669,0.0337786678705669,0.0337786678705669,0.0618849232261796,0.0618849232261796
"MIR34",-0.0618849232261796,-0.0337786678705669,-0.0337786678705669,0.0729165585719997,0.0729165585719997,0.0756616161685788,0.0756616161685788,0.0843919235879463,0.0572449029742891,-0.0510841371467596,0.0337786678705669,0.0337786678705669,0.0337786678705669,0.0337786678705669,0.0618849232261796,0.0618849232261796
"MIR129",-0.0646026490066225,-0.036137671361317,-0.036137671361317,-0.04637488323008,-0.04637488323008,-0.146311751761452,0.0555975293661152,-0.0198775534256839,0.0612692173397685,0.0984772935277542,0.036137671361317,0.036137671361317,0.036137671361317,0.036137671361317,0.0646026490066225,0.0646026490066225
"ZEB1",-0.193697312244179,-0.183599010188772,-0.183599010188772,-0.182479615078535,-0.182479615078535,-0.0829102022113963,-0.0829102022113963,-0.0123867390915847,0.0932455417157152,0.127028212356769,0.183599010188772,0.183599010188772,0.183599010188772,0.183599010188772,0.193697312244179,0.193697312244179
"MIR340",-0.179168850052165,-0.193697312244179,-0.193697312244179,-0.194086268341193,-0.194086268341193,-0.0990834649100564,-0.0990834649100564,-0.00793145453873913,0.183599010188772,0.114328765922383,0.193697312244179,0.193697312244179,0.193697312244179,0.193697312244179,0.179168850052165,0.179168850052165
"CD24",-0.179168850052165,-0.193697312244179,-0.193697312244179,-0.194086268341193,-0.194086268341193,-0.0990834649100564,-0.0990834649100564,-0.00793145453873913,0.183599010188772,0.114328765922383,0.193697312244179,0.193697312244179,0.193697312244179,0.193697312244179,0.179168850052165,0.179168850052165
"HAS2",-0.292145949288806,-0.179168850052165,-0.179168850052165,-0.177858660332763,-0.177858660332763,-0.0787181681064034,-0.0787181681064034,-0.0124725173406715,0.193697312244179,0.12833065806997,0.179168850052165,0.179168850052165,0.179168850052165,0.179168850052165,0.192145949288806,0.192145949288806
"GRHL2",-0.315341253859579,-0.322984565961489,-0.322984565961489,-0.323957568330634,-0.323957568330634,-0.111561786341429,-0.111561786341429,-0.0184578988658261,0.319279228511114,0.141184982892927,0.322984565961489,0.322984565961489,0.322984565961489,0.322984565961489,0.315341253859579,0.415341253859579
