,Cycles,Nature,Edge_count
0,SNAIL1,N,1
1,"HA,ZEB1,HAS2",N,3
2,"MIR-129,TWIST1",N,2
3,"MIR-129,TWIST1,SNAIL1",P,3
4,"MIR-129,TWIST1,ZEB1,MIR-190,TGFB,SNAIL1",N,6
5,"MIR-129,TWIST1,ZEB1,MIR-34,SNAIL1",P,5
6,"MIR-129,TWIST1,ZEB1,MIR-200,TGFB,SNAIL1",P,6
7,"CD24,ZEB1,GRHL2",P,3
8,"CD44s,ZEB1,ESRP1",N,3
9,"MIR-34,SNAIL1,TWIST1,ZEB1",N,4
10,"MIR-34,SNAIL1,ZEB1",N,3
11,"MIR-34,SNAIL1,MIR-200,ZEB1",N,4
12,"MIR-34,SNAIL1",N,2
13,"ZEB1,MIR-340",P,2
14,"ZEB1,MIR-190,TGFB,SNAIL1,TWIST1",P,5
15,"ZEB1,MIR-190,TGFB,SNAIL1",P,4
16,"ZEB1,MIR-190,TGFB,SNAIL1,MIR-200",P,5
17,"ZEB1,GRHL2",P,2
18,"ZEB1,MIR-1199",P,2
19,"ZEB1,MIR-200,TGFB,SNAIL1,TWIST1",N,5
20,"ZEB1,MIR-200,TGFB,SNAIL1",N,4
21,"ZEB1,MIR-200",P,2
22,"MIR-200,TGFB,SNAIL1",N,3
23,"TWIST1,SNAIL1",N,2
