"Nature","Strength","Type","Node"
"P",1.22089152572569,"DA","GRHL2,GRHL2"
"P",1.19100551372836,"DA","GRHL2,Ecad"
"P",0.881627996020285,"DA","GRHL2,miR200"
"P",0.538713117526376,"DA","GRHL2,SNAIL"
"P",0.756641815178634,"DA","GRHL2,miR34"
"N",0.559662653233971,"NF","GRHL2,KEAP1"
"P",0.489490654613519,"DA","GRHL2,OVOL2"
"P",0.55179515798203,"TS","GRHL2,NRF2"
"P",1.27184822260384,"TS","GRHL2,ZEB"
"P",1.16111950173103,"DA","Ecad,Ecad"
"P",0.885743899547808,"DA","Ecad,miR200"
"P",0.51677175973865,"DA","Ecad,SNAIL"
"P",0.639441537703273,"DA","Ecad,miR34"
"N",0.565547303526547,"NF","Ecad,KEAP1"
"P",0.479628479667926,"DA","Ecad,OVOL2"
"P",0.628972301746659,"TS","Ecad,NRF2"
"P",1.23942578941695,"TS","Ecad,ZEB"
"P",0.55649576101791,"DA","miR200,miR200"
"P",0.329410464459317,"DA","miR200,SNAIL"
"P",0.622672757537737,"DA","miR200,miR34"
"N",0.533436426488208,"NF","miR200,KEAP1"
"P",0.307532917352853,"DA","miR200,OVOL2"
"P",0.33843465636006,"TS","miR200,NRF2"
"P",0.914733731285627,"TS","miR200,ZEB"
"P",0.0283762364413814,"TS","SNAIL,SNAIL"
"P",0.196535616564933,"DA","SNAIL,miR34"
"N",0.253188612782858,"NF","SNAIL,KEAP1"
"P",0.307866368321048,"DA","SNAIL,OVOL2"
"P",0.165267317228257,"TS","SNAIL,NRF2"
"P",0.557894440378287,"TS","SNAIL,ZEB"
"P",0.21298119779052,"DA","miR34,miR34"
"N",0.26854303001451,"NF","miR34,KEAP1"
"P",0.321502820675185,"DA","miR34,OVOL2"
"P",0.185106922027173,"TS","miR34,NRF2"
"P",0.786053406173115,"TS","miR34,ZEB"
"P",0.323326154016078,"TS","KEAP1,KEAP1"
"N",0.179265566852499,"NF","KEAP1,OVOL2"
"N",0.340822554901858,"NF","KEAP1,NRF2"
"N",0.590560625689631,"NF","KEAP1,ZEB"
"P",0.0250170469297288,"DA","OVOL2,OVOL2"
"P",0.276253563135381,"TS","OVOL2,NRF2"
"P",0.50433890179317,"TS","OVOL2,ZEB"
"P",0.157232646263827,"DA","NRF2,NRF2"
"P",0.580344120161764,"DA","NRF2,ZEB"
"P",1.11856752201338,"DA","ZEB,ZEB"
