"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00908670787164431,0.111866120725122,-0.032079446276967,-0.0831104868914861,-0.053255827371226,-0.0407257276203389,0.0897532939995035,0,-0.0426879886055003,-0.0426879886055003
"SNAIL",0.101583346668988,-0.0245221256899981,-0.101243473923176,0.0141888215864615,-0.159606439772633,-0.136212490958267,0.109221403109915,0,-0.127852662342277,-0.127852662342277
"OVOL2",-0.0278419344356937,-0.0764668202733243,-0.0172088881370781,0.0184144463699033,0.0850567772244501,-0.0164281417281391,0.0736324972611855,0,0.0837574623860043,0.0837574623860043
"NRF2",-0.127852662342277,-0.0846919282115117,0.0709222058041631,0.0172452682252237,0.134835618629664,0.109221403109915,-0.138176114421355,0,0.0987739311404569,0.0987739311404569
"miR34",-0.127852662342277,-0.0846919282115117,0.0709222058041631,0.0172452682252237,0.134835618629664,0.109221403109915,-0.138176114421355,0,0.0987739311404569,0.0987739311404569
"miR200",-0.0375378992727788,-0.00916131978325449,0.0835677235701028,-0.0691144445262351,0.0690894023750803,0.0682260404050815,-0.115921494235505,0,0.088487940981927,0.088487940981927
"KEAP1",-0.0987739311404569,-0.0744826159517936,0.103774934949374,0.0828862938662493,0.160952152199614,0.138176114421355,-0.106144864421355,0,0.129856049329252,0.129856049329252
"Iext",-0.127852662342277,-0.0846919282115117,0.0709222058041631,0.0172452682252237,0.134835618629664,0.109221403109915,-0.138176114421355,0,0.0987739311404569,0.0987739311404569
"GRHL2",-0.0426879886055003,-0.0940653095489168,0.0870261327393776,0.025086270093485,0.0979916455954887,0.0897532939995035,-0.0357625231910946,0,0.0949941316065073,0.0949941316065073
"Ecad",-0.0541111934688505,-0.132762713285101,0.0894905634046629,0.114361760835776,0.189935628034193,0.147223965707826,-0.0977993007558833,0,0.102005258561384,0.102005258561384
