"Nature","Strength","Type","Node"
"P",0.958803632111808,"DA","miR145,miR145"
"P",0.945792364641633,"DA","miR145,miR200"
"P",0.891478197192252,"DA","miR145,GRHL2"
"N",0.749119975742905,"NF","miR145,OVOL2"
"P",0.911236530904065,"TS","miR145,ZEB"
"P",1.1102702079064,"TS","miR145,OCT4"
"P",0.937871293264866,"DA","miR200,miR200"
"P",0.88176673284485,"DA","miR200,GRHL2"
"N",0.498396664899864,"NF","miR200,OVOL2"
"P",0.901200396845295,"TS","miR200,ZEB"
"P",0.999073407344888,"TS","miR200,OCT4"
"P",0.825662172424834,"DA","GRHL2,GRHL2"
"N",0.69540307097836,"NF","GRHL2,OVOL2"
"P",0.84277114203195,"TS","GRHL2,ZEB"
"P",0.847422362858676,"TS","GRHL2,OCT4"
"P",0.0658166499393814,"TS","OVOL2,OVOL2"
"N",0.709902269571281,"NF","OVOL2,ZEB"
"N",0.710245696317938,"NF","OVOL2,OCT4"
"P",0.655885053063064,"DA","ZEB,ZEB"
"P",0.873150339268554,"DA","ZEB,OCT4"
"P",1.05673321301288,"DA","OCT4,OCT4"
