"Nature","Strength","Type","Node"
"P",0.17857769603409,"TS","ZEB,ZEB"
"P",0.0485418527256138,"TS","ZEB,OVOL2"
"N",0.0508871630984189,"NF","ZEB,SNAIL"
"P",0.112023538097317,"TS","ZEB,KEAP1"
"P",0.0219665605021973,"TS","ZEB,miR145"
"P",0.00856610417408301,"TS","ZEB,Ecad"
"N",0.0911095301944463,"NF","ZEB,miR200"
"N",0.00735955370341274,"NF","ZEB,GRHL2"
"P",0.0377374788351902,"DA","ZEB,OCT4"
"P",0.144575902312056,"DA","ZEB,NRF2"
"N",0.0385287751558392,"NF","ZEB,miR34"
"P",0.101593962434543,"TS","OVOL2,OVOL2"
"N",0.0775212109244234,"NF","OVOL2,SNAIL"
"P",0.128157799906951,"DA","OVOL2,KEAP1"
"P",0.0752271571874001,"DA","OVOL2,miR145"
"P",0.0709161417860183,"DA","OVOL2,Ecad"
"N",0.111007429033093,"NF","OVOL2,miR200"
"N",0.0704383288782001,"NF","OVOL2,GRHL2"
"P",0.0431068824609667,"TS","OVOL2,OCT4"
"P",0.0831989718969723,"TS","OVOL2,NRF2"
"N",0.0676033899257577,"NF","OVOL2,miR34"
"P",0.155914234178265,"TS","SNAIL,SNAIL"
"P",0.100040047297297,"DA","SNAIL,KEAP1"
"N",0.0531865006937584,"NF","SNAIL,miR145"
"P",0.0879941489397666,"DA","SNAIL,Ecad"
"P",0.0878155580954018,"TS","SNAIL,miR200"
"P",0.0499682570119933,"DA","SNAIL,GRHL2"
"N",0.0525664362757883,"NF","SNAIL,OCT4"
"P",0.0591192971240908,"TS","SNAIL,NRF2"
"N",0.0815420966242914,"NF","SNAIL,miR34"
"P",0.148093908775744,"DA","KEAP1,KEAP1"
"N",0.0392663497129169,"NF","KEAP1,miR145"
"P",0.155450809988125,"DA","KEAP1,Ecad"
"P",0.0904989239489266,"TS","KEAP1,miR200"
"N",0.125364816166986,"NF","KEAP1,GRHL2"
"N",0.0969371220251765,"NF","KEAP1,OCT4"
"P",0.217338575206507,"TS","KEAP1,NRF2"
"N",0.143758944479319,"NF","KEAP1,miR34"
"P",0.0659222688903554,"DA","miR145,miR145"
"P",0.0429034364253133,"DA","miR145,Ecad"
"P",0.021188924177921,"DA","miR145,miR200"
"N",0.0423084398829455,"NF","miR145,GRHL2"
"P",0.23186016408484,"TS","miR145,OCT4"
"P",0.110064033293404,"TS","miR145,NRF2"
"N",0.0443401910679442,"NF","miR145,miR34"
"P",0.0292977705278296,"DA","Ecad,Ecad"
"N",0.130137777522273,"NF","Ecad,miR200"
"N",0.0275001745803572,"NF","Ecad,GRHL2"
"P",0.0119065676355483,"TS","Ecad,OCT4"
"P",0.235802348280415,"TS","Ecad,NRF2"
"N",0.124366878209512,"NF","Ecad,miR34"
"P",0.163677191730929,"TS","miR200,miR200"
"P",0.100058542259505,"DA","miR200,GRHL2"
"P",0.080551937556868,"TS","miR200,OCT4"
"P",0.0752984502747387,"DA","miR200,NRF2"
"N",0.075114076713991,"NF","miR200,miR34"
"P",0.0257025786328848,"TS","GRHL2,GRHL2"
"N",0.0122378753231094,"NF","GRHL2,OCT4"
"N",0.126605655443571,"NF","GRHL2,NRF2"
"P",0.0339854770730391,"TS","GRHL2,miR34"
"P",0.262283940243936,"DA","OCT4,OCT4"
"P",0.0391936824084129,"DA","OCT4,NRF2"
"N",0.040975058839313,"NF","OCT4,miR34"
"P",0.109869666608969,"DA","NRF2,NRF2"
"N",0.118623317064034,"NF","NRF2,miR34"
"P",0.127376967519098,"TS","miR34,miR34"
