"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0892888480170449,0.0249830151313251,-0.0193560873640259,0.0191123586933551,0.110903970207595,-0.00485684305137829,0.0888587191388534,-0.00927168390422674,-0.0881619663901957,0,-0.00367977685170637,-0.00367977685170637
"SNAIL",-0.0259041479670938,-0.0779571170891326,0.0422494951753794,-0.0238515459621401,-0.0466212941120856,0.0690440936122862,-0.0735788800424348,0.0344336742528335,0.0745778309159466,0,0.0336719321044609,0.0336719321044609
"OVOL2",-0.0291857653615879,-0.035271715749044,-0.0507969812172714,-0.02566862538165,-0.0522367848713352,0.0366412029001206,-0.0812806858194054,0.0412938947085482,0.0826229320924172,0,0.040588023234434,0.040588023234434
"OCT4",0.0186251201418351,0.0287148903136482,-0.0174382570793167,0.131141970121968,0.00177550173869846,-0.00355687816959859,-0.0756203757084302,-0.113261807792056,0.0773103523984069,0,-0.00569581103928124,-0.00569581103928124
"NRF2",0.0336719321044609,-0.0124980030120052,-0.0309621870256371,0.0374181806697144,0.0549348333044846,-0.0636884837595489,0.0745778309159466,-0.0238515459621401,-0.073151150521771,0,-0.0238615717071208,-0.0238615717071208
"miR34",0.0336719321044609,-0.0124980030120052,-0.0309621870256371,0.0374181806697144,0.0549348333044846,-0.0636884837595489,0.0745778309159466,-0.0238515459621401,-0.073151150521771,0,-0.0238615717071208,-0.0238615717071208
"miR200",-0.00225081105559286,-0.014236678052967,0.0297267432136875,-0.00493156184843778,0.000720619358792148,-0.000536245798044437,-0.0818385958654643,0.0181976595986317,-0.0173477734271556,0,0.0118965758693094,0.0118965758693094
"miR145",-0.0126948765979706,-0.0187528264409249,0.0339332624788519,-0.118598356292784,-0.0862124873312637,0.0204886451058041,0.00299126457928927,0.0329611344451777,-0.00184816904320249,0,0.0231960811895904,0.0231960811895904
"KEAP1",-0.0238615717071208,0.0254622163813503,0.0455348678145341,-0.0196267696267696,-0.144187424684736,0.0706077939575477,-0.073151150521771,0.0374181806697144,0.0740469543878719,0,0.0363450066395353,0.0363450066395353
"Iext",0.0336719321044609,-0.0124980030120052,-0.0309621870256371,0.0374181806697144,0.0549348333044846,-0.0636884837595489,0.0745778309159466,-0.0238515459621401,-0.073151150521771,0,-0.0238615717071208,-0.0238615717071208
"GRHL2",0.00367977685170637,0.0162963249075324,-0.0298503056437661,0.00654206428382818,0.10274408373645,-0.0101239053659183,0.0881619663901957,-0.0191123586933551,-0.0890198095274506,0,-0.0128512893164424,-0.0128512893164424
"Ecad",-0.00488632732237664,0.0543222168353057,0.0303281185515843,-0.00621075659626711,-0.211940776573294,0.100505306502391,-0.118241201652964,0.0197073552357229,0.11910580334859,0,0.0146488852639148,0.0146488852639148
