"","OVOL2","SNAIL","miR145","GRHL2","Ecad","miR34","ZEB","miR200","KEAP1","OCT4","NRF2"
"NRF2",0.135263162881695,0.00800299188116534,0.0999087570734629,0.0939842284056898,0.0939842284056898,0.0996641819511883,-0.113843024892021,0.0760388184850811,-0.0920852959082316,-0.121768776248918,-0.020598824454726
"OVOL2",0.284592659069611,0.11333756345195,0.133788674566809,0.126629323690756,0.126629323690756,0.107606544637159,-0.103325699210661,-0.144586361366559,0.163754486996566,-0.106476772472523,-0.116701438883066
"miR200",0.207729914383474,0.0196818661455727,0.0974948641577341,0.0954490656223415,0.0954490656223415,0.0660192847961354,-0.0544343462607196,0.0388766161651379,-0.10521144913154,-0.049349014662001,0.0471326051945578
"miR145",0.223397746164116,0.0924078047351897,0.0919851163222213,0.0899275801672268,0.0899275801672268,0.0653624123640281,-0.0427689992233939,0.0398356022338077,-0.00119563560885986,-0.136570416389652,-0.0457528878493169
"GRHL2",0.203042338600878,0.0895858878913734,0.0880350086778959,0.0863065748067789,0.0863065748067789,0.0588396578993136,-0.0407944555137856,0.0339349207112845,0.00331998124949984,-0.03497513438084,-0.0465468267949184
"Ecad",0.170892219782242,0.0971104268833431,0.0620651769686794,0.0586430569498959,0.0586430569498959,0.0466628129265761,-0.0250700742614085,0.0316391470221095,-0.00419853592498875,-0.0230719796897679,-0.136251179964849
"ZEB",-0.180240184316069,-0.102866217691138,-0.0413516805512688,-0.0407944555137856,-0.0407944555137856,-0.024946853745011,-0.018051267110834,-0.000318198645316686,0.0339349207112845,0.0880350086778959,0.094772938431626
"OCT4",-0.189302308986669,-0.0555779386152585,-0.143039276136848,-0.0424308765281873,-0.0424308765281873,-0.0287189352098426,0.0929552540800247,-0.103372305843138,0.144601909572741,0.198971479526679,0.000244281337969854
"KEAP1",-0.14567222058805,-0.00145336325186082,-0.121768776248918,-0.115373043672056,-0.115373043672056,-0.115610530684422,0.0939842284056898,-0.0920852959082316,0.0742163661581137,0.0955417823838876,-0.102805430864423
"SNAIL",-0.14573493045263,-0.102587905492628,-0.120383358482436,-0.113843024892021,-0.113843024892021,-0.114357439561966,0.0964677182689629,-0.0903479914997233,0.0760388184850811,0.0999087570734629,0.000476666327817313
"miR34",-0.135263162881695,-0.00800299188116534,-0.0999087570734629,-0.0939842284056898,-0.0939842284056898,-0.0996641819511883,0.113843024892021,-0.0760388184850811,0.0920852959082316,0.121768776248918,0.020598824454726
