"","ZEB","miR200","miR34","OVOL2","GRHL2","Ecad","miR145","OCT4","NRF2","KEAP1","SNAIL"
"NRF2",-0.0962262937146617,-0.0312950057893134,-0.0224886352173762,0.0720294106766149,0.0907341337934729,0.0907341337934729,0.0816058072039721,-0.0875501983832626,-0.0724861950582108,0.0220142292045215,0.0208097088773609
"SNAIL",-0.0923781743360844,-0.0248953342115184,-0.0173971738160687,0.0787859378329835,0.0962262937146617,0.0962262937146617,0.0857659851795005,-0.0816058072039721,-0.0627474777185434,0.0312950057893134,-0.0770411128672661
"OVOL2",-0.0878489979911797,-0.0228963957600974,0.0998441883585298,-0.0318695162774301,0.0907664073791774,0.0907664073791774,0.080733895938598,-0.0775536839244637,-0.0594854134710618,0.0276871008372898,-0.105282390007786
"ZEB",-0.0728744063844761,-0.0370193401647029,-0.0328175291113719,-0.0308085933661311,-0.0227957187245272,-0.0227957187245272,-0.00536922526761282,0.0100656742939588,0.0359345419955349,0.0441850266898883,0.0872230075266228
"GRHL2",-0.0227957187245272,0.0441850266898883,0.0383627813368912,0.0385228338223326,0.0290194506607353,0.0290194506607353,0.0100656742939588,-0.00338357042363127,-0.0249127822982785,-0.0339726083892347,-0.085456223074326
"Ecad",-0.00910721664818208,0.0930406543726621,0.114297258006571,0.0271085581653882,0.0128154750910919,0.0128154750910919,0.000212835983117372,0.00381437490123637,-0.105644831681064,-0.0869716541208364,-0.115051773016758
"OCT4",-0.00844573487970659,-0.0828263980950822,0.013014265187702,0.0166482063082201,0.00158479500299536,0.00158479500299536,0.0282454392896169,-0.0357651337274303,-0.128601616161616,0.0712587990274831,-0.0692645588000168
"miR145",0.00565334025577175,0.0107679830074773,0.00489983912487893,0.0166050731566986,-0.00233244649602873,-0.00233244649602873,-0.102283724530225,0.00583058899414912,-0.0130850846376797,-0.00533619327030584,-0.0658814865452788
"miR200",0.01909206868231,-0.0436444267478458,-0.0372250486841543,-0.0371236189280145,-0.0256106431148328,-0.0256106431148328,-0.00693322290267355,-9.54815193590294e-05,0.122541451626256,-0.0671242149674791,0.0716296115681963
"KEAP1",0.0907341337934729,0.0220142292045215,0.0149306194626392,-0.0815984391645624,-0.098605853910091,-0.098605853910091,-0.0875501983832626,0.0792679897943056,-0.0413163144889796,-0.0350741066208346,-0.0242533280535932
"miR34",0.0962262937146617,0.0312950057893134,0.0224886352173762,-0.0720294106766149,-0.0907341337934729,-0.0907341337934729,-0.0816058072039721,0.0875501983832626,0.0724861950582108,-0.0220142292045215,-0.0208097088773609
