"","ZEB","KEAP1","miR200","miR34","OVOL2","miR145","GRHL2","Ecad","OCT4","SNAIL","NRF2"
"ZEB",-0.0599914091433776,-0.058210887495346,-0.0396734290448218,-0.0374389536149359,-0.0305814716659085,-0.0303395965654835,-0.0266381222762448,-0.0266381222762448,0.0475009003247254,0.108889273036998,0.13688183873488
"NRF2",-0.0546232472448584,-0.0321846616377554,-0.0690283151162081,-0.068849557936209,0.0292305969288336,0.0275806131306041,0.0280326553394319,0.0280326553394319,-0.0617129237729819,0.0302561821610738,0.00495525030092738
"SNAIL",-0.0327865751271151,-0.0690283151162081,-0.0387450509644041,-0.0415432117696634,0.058697663814488,0.0556043432010528,0.0546232472448584,0.0546232472448584,-0.0275806131306041,-0.044986127152032,0.00960404568606481
"miR145",-0.0324175556501981,0.038377565364363,0.0638010113384973,0.0618823411696868,0.0521064885691402,0.0572567312295647,0.0505620121668026,0.0505620121668026,-0.133723352942309,-0.105757580349498,-0.192170664043492
"GRHL2",-0.0266381222762448,0.0354984691946924,0.058210887495346,0.054093256285559,0.0486632077660194,0.0475009003247254,0.0429142464054405,0.0429142464054405,-0.0264952767719632,-0.0936654803397075,-0.133854402594861
"miR200",-0.0243083383710899,0.134535950111019,0.0592224629855285,0.0551654623339659,0.0490020469769957,0.0465452504866341,0.0420524479305874,0.0420524479305874,-0.0237213559947799,-0.0790252040543601,-0.233486253966998
"Ecad",-0.0238958254903053,0.0963881187133379,0.107090712518425,0.133108697737214,0.0377221727015221,0.037375345232165,0.0314826195495239,0.0314826195495239,-0.0274433724430493,-0.129199861954707,-0.229166988933225
"KEAP1",0.0280326553394319,0.0769277073709001,0.0321846616377554,0.0355729984301413,-0.0650961922538884,-0.0617129237729819,-0.0604471795906908,-0.0604471795906908,0.0203018808281966,-0.0605060133562122,-0.110901786034697
"OCT4",0.046991534001155,-0.166955141669908,-0.136681248896015,-0.0361827239646814,-0.0264702303724889,-0.129644048104769,-0.0250477344654893,-0.0250477344654893,0.157741446051773,0.111451214900096,0.270514821162444
"miR34",0.0546232472448584,0.0321846616377554,0.0690283151162081,0.068849557936209,-0.0292305969288336,-0.0275806131306041,-0.0280326553394319,-0.0280326553394319,0.0617129237729819,-0.0302561821610738,-0.00495525030092738
"OVOL2",0.0910938296360967,-0.105131486557235,-0.11581109820772,-0.108746498757025,-0.10355058803251,-0.105790081389348,-0.0986695872118542,-0.0986695872118542,0.0958529961527713,0.111073936468878,0.103169473471885
