"","KEAP1","ZEB","OVOL2","miR145","miR34","GRHL2","Ecad","SNAIL","OCT4","miR200","NRF2"
"ZEB",-0.104485324024979,-0.062679339017648,-0.0183282766271426,-0.0119978462655471,-0.0118835998721359,-0.00917558436865942,-0.00917558436865942,0.0366151832881364,0.045081257699474,0.102746638266861,0.142716346867553
"OVOL2",0.0856336104366286,-0.0239853534002515,-0.0349175614880539,0.0600686476806408,0.0513342583689309,0.0593091799005486,0.0593091799005486,-0.0280607438029295,-0.0187948391828385,-0.0877398229677974,-0.0515251162683133
"SNAIL",0.0770371796389102,-0.0228900571328505,0.0551748813647344,0.0491334946923293,0.0790149434813639,0.0483755436414359,0.0483755436414359,-0.072063112686356,-0.019359671926293,-0.0785105181418523,-0.046588559550204
"KEAP1",0.0763240786815974,-0.0195355469252385,0.0594169119456031,0.0532522893759574,0.0815869407002412,0.0523211286904121,0.0523211286904121,0.0312022121346028,-0.01475535686062,-0.0787286048484998,-0.143742905347598
"miR145",0.010031449465154,-0.0136615379587578,0.0553762077102768,0.0534002591121146,0.0395388874262387,0.0476782605247741,0.0476782605247741,-0.0129487958292408,-0.113845302942189,-0.0121424215135479,-0.102658710664596
"Ecad",0.130838963037438,-0.00984917355741882,0.0525268665737623,0.0452359583488803,0.120432123158656,0.0420410191727816,0.0420410191727816,0.0595387246654429,-0.00771214882507075,-0.132912328268697,-0.225540008288741
"GRHL2",0.102483690038051,-0.00917558436865942,0.0524245858303741,0.045081257699474,0.0321450983884563,0.0412384550002444,0.0412384550002444,-0.0114973976579833,-0.00776733113645708,-0.104485324024979,-0.120105183196786
"miR200",-0.00556767880791799,-0.00891480982299752,0.052678378677009,0.0451100495837281,0.0194201298795559,0.0413135805136753,0.0413135805136753,-0.00849911149141318,-0.00735985563493063,-0.0964903282754552,-0.0166270194645394
"OCT4",0.0616993617586413,0.0450871682384513,-0.0142379753332764,-0.111374442944491,-0.00666734748156262,-0.00754814013821915,-0.00754814013821915,0.0404447737807309,0.155704832058839,-0.0637972638565434,0.0334149875807253
"NRF2",-0.0787286048484998,0.0483755436414359,-0.0244278688484519,-0.019359671926293,-0.0609141708471435,-0.0195355469252385,-0.0195355469252385,-0.00513874150664869,0.0532522893759574,0.0770371796389102,0.0667107176771128
"miR34",-0.0787286048484998,0.0483755436414359,-0.0244278688484519,-0.019359671926293,-0.0609141708471435,-0.0195355469252385,-0.0195355469252385,-0.00513874150664869,0.0532522893759574,0.0770371796389102,0.0667107176771128
