"","ZEB","OVOL2","OCT4","miR145","miR34","GRHL2","Ecad","miR200","KEAP1","SNAIL","NRF2"
"ZEB",-0.0672318258390626,-0.017052265902042,-0.0146717809269843,-0.00986221886474743,-0.0064462106195482,-0.00612155815481549,-0.00612155815481549,-0.00240228006856947,0.0314165986571657,0.0449059953933727,0.120741414582474
"OVOL2",-0.0237256168086817,-0.0376117140177135,0.0156761566274068,-0.0449703046925623,0.0592305501849454,0.0558052365353602,0.0558052365353602,-0.0435834374615999,0.0783067649590799,-0.0487649684483182,0.0151962475814163
"SNAIL",-0.0228863213982975,0.0628797134407273,0.0147468621588413,-0.046003814327918,-0.0376628200956046,0.057110565061421,0.057110565061421,-0.0416264127692499,0.0786788234794629,-0.0390673479768002,0.0174103248492004
"miR200",-0.0170603468503126,0.0508786310963463,-0.00282682101382054,-0.0201832643236504,0.0272153341332117,0.0424498977210734,0.0424498977210734,0.0222366947129777,-0.0949082750709752,0.0463051871326152,-0.21295298358025
"Ecad",-0.00684365015625795,0.0516697856614466,-0.0117857497524479,-0.018119012152314,0.0432556168273178,0.0398679619526821,0.0398679619526821,0.0362067750926148,-0.000657375277287003,0.0803485295335885,-0.205955579762382
"GRHL2",-0.00612155815481549,0.0495724623221275,-0.0129497870518447,-0.0146717809269843,0.0377889405898746,0.0366529646836888,0.0366529646836888,0.0314165986571657,0.00142653859773623,-0.0146203652402514,-0.111990231990232
"OCT4",0.00143827104447997,-0.00183161226556909,-0.0731740327300307,0.074582483434256,0.000937593111601316,-0.00293534894056515,-0.00293534894056515,-0.0694306170165487,0.0677697778557096,-0.0212667996231489,0.0811389559529724
"miR145",0.00609768521494982,0.0358156890885164,-0.131073428377043,0.0088077506966656,0.0184704806991113,0.0186413199340889,0.0186413199340889,0.00970957328037748,0.0167985618885837,-0.00416444940486838,-0.139285599877811
"KEAP1",0.0181728752165806,-0.0687223276285502,-0.0100182889656574,0.0505090865116697,0.0319382642535352,-0.0626732727782027,-0.0626732727782027,0.0363637771491202,-0.0844071529152682,-0.0663311353545556,0.0810761013776615
"NRF2",0.057110565061421,-0.021315461302765,-0.0505090865116697,0.0147468621588413,0.077648291930776,-0.0181728752165806,-0.0181728752165806,0.0786788234794629,-0.0363637771491202,-0.02203673967596,-0.00621249654923431
"miR34",0.057110565061421,-0.021315461302765,-0.0505090865116697,0.0147468621588413,0.077648291930776,-0.0181728752165806,-0.0181728752165806,0.0786788234794629,-0.0363637771491202,-0.02203673967596,-0.00621249654923431
