"","miR145","GRHL2","Ecad","miR34","OVOL2","SNAIL","miR200","KEAP1","NRF2","ZEB","OCT4"
"miR145",0.462299182082721,0.442039313920373,0.442039313920373,0.374262038649434,0.229625590247675,0.208436967767855,0.216590392107775,-0.210257475962593,-0.18000999968454,-0.449025945315337,-0.548961353357165
"miR200",0.410786370703783,0.392084009364682,0.392084009364682,0.330264692720064,0.20344448555758,0.102460544762136,0.189880181783559,-0.284893104153618,-0.0904279626507537,-0.397362491059835,-0.400437262868252
"Ecad",0.407060388321625,0.389665183040807,0.389665183040807,0.233680041518202,0.203917206098961,0.180928051529619,0.159058291352177,-0.154114112723788,-0.295527541941074,-0.394688359656076,-0.396937939342033
"OVOL2",0.1335405189553,0.126897359596157,0.126897359596157,0.108198505431474,-0.0137810509118947,0.111926657496518,-0.0190088146938453,0.0218683828406966,-0.0828306735278181,-0.127331108853436,-0.129584645474304
"SNAIL",0.118853450891172,0.112575906238291,0.112575906238291,0.00231867376293774,0.0858089011112248,-0.051488809153118,-0.00925159184813866,0.0110077383609334,-0.0712603738790543,-0.113097165436982,-0.116206064906745
"miR34",0.116206064906745,0.110285453894476,0.110285453894476,0.000674349652787831,0.0839003096177662,0.0477737277200384,-0.0110077383609334,0.0100222993257812,-0.0724819551481415,-0.112575906238291,-0.115726678521319
"KEAP1",0.115726678521319,0.109728867623604,0.109728867623604,0.000397577244867883,0.0849594768931496,0.0467608985505583,-0.0100222993257812,0.0144070235124856,-0.167735637635866,-0.110285453894476,-0.109745083429294
"NRF2",-0.116206064906745,-0.110285453894476,-0.110285453894476,-0.000674349652787831,-0.0839003096177662,-0.0477737277200384,0.0110077383609334,-0.0100222993257812,0.0724819551481415,0.112575906238291,0.115726678521319
"ZEB",-0.433990085827603,-0.414131681497679,-0.414131681497679,-0.345159634107526,-0.2127990591268,-0.199267978853463,-0.1963593870386,0.194262736565575,0.204829738351679,0.319141380559806,0.427387982318283
"GRHL2",-0.427387982318283,-0.408138244915262,-0.408138244915262,-0.34113515339536,-0.210415089540232,-0.196485293341096,-0.194262736565575,0.18919737708845,0.199744591710241,0.414131681497679,0.416372434848881
"OCT4",-0.526611048801188,-0.408147080153782,-0.408147080153782,-0.345514039052358,-0.211419672150002,-0.136065306891327,-0.298421641234431,0.295216513029303,0.0799419158801126,0.418818763765983,0.513982736554828
