"","ZEB","KEAP1","OVOL2","NRF2","miR34","Ecad","miR145","GRHL2","OCT4","SNAIL","miR200"
"ZEB",-0.103105728524473,-0.0718776824401815,-0.0158182396588876,-0.0127398666188414,-0.00465992292133247,-0.00407207544835724,-0.00391381029345778,0.00407207544835724,0.00582987818890711,0.0666024775960343,0.0723315305608667
"OVOL2",-0.0285207482610142,0.077579078032536,-0.0583633869909682,-0.0326553892541925,0.0308682551073169,-0.0312717880708775,0.0317270520893103,0.0312717880708775,-0.0272713078852251,-0.0509691816018306,-0.0765445403912819
"SNAIL",-0.0277805874222891,0.0940779762708922,0.0399931000736677,-0.0390486144539888,-0.062811019333024,-0.0314907264247421,0.0322240144195887,0.0314907264247421,-0.0261505995141382,-0.0457643501597994,-0.0925863920898951
"KEAP1",-0.0261299186092918,0.0951465251235503,0.0429214130821265,-0.141601868884739,-0.059976782932448,-0.0335775729957217,0.0347795544518179,0.0335775729957217,-0.0220494931021247,0.0575955566013012,-0.0913275717996464
"miR145",-0.00884071367592833,-0.0178352192073789,0.0227553067027954,0.0886868360225392,0.019107256932651,-0.0110845608108898,0.02423575411318,0.0110845608108898,-0.120365221409202,-0.0795550740505969,0.0186278766959062
"GRHL2",-0.00407207544835724,-0.0720002314597893,-0.0180121252917087,-0.0112971040833636,-0.00651452232786066,-0.00237364721414686,-0.00582987818890711,0.00237364721414686,0.00275346403078604,0.0645265058645855,0.0718776824401815
"Ecad",0.00237358292628676,0.109081466251032,0.018911862905139,-0.0977893670994955,0.0122052194333297,-0.000350851848095984,0.00685092842882311,0.000350851848095984,-0.0020618127825646,0.0503285495919997,-0.108300806467602
"OCT4",0.00456754490955155,0.0932013493108356,-0.0161852052528794,-0.159592480543136,-0.0121972358155078,0.000956945277816704,-0.112018463481236,-0.000956945277816704,0.117532906068965,0.0705013300568126,-0.0917444728539592
"miR200",0.00729973931957213,-0.0336617828236604,0.0172090707933561,0.112264866350627,0.012711276771919,0.0049974801941071,0.00342367960228964,-0.0049974801941071,0.000688034905080415,-0.0562988781740176,-0.0660031927674184
"NRF2",0.0314907264247421,-0.0913275717996464,-0.0333158615846831,0.0356553331509688,0.0690251116529078,0.0261299186092918,-0.0261505995141382,-0.0261299186092918,0.0347795544518179,-0.0478723965742924,0.0940779762708922
"miR34",0.0314907264247421,-0.0913275717996464,-0.0333158615846831,0.0356553331509688,0.0690251116529078,0.0261299186092918,-0.0261505995141382,-0.0261299186092918,0.0347795544518179,-0.0478723965742924,0.0940779762708922
