"","OCT4","ZEB","OVOL2","GRHL2","Ecad","miR200","miR34","miR145","KEAP1","NRF2","SNAIL"
"SNAIL",0.0687395702941165,-0.0771753497114319,0.0899078820269501,0.106176780619036,0.106176780619036,-0.0988786106437493,0.197572218776431,0.0936932225002715,0.124445367018333,-0.0849201961589638,0.0654464994175043
"KEAP1",0.0672875883402199,-0.0755635304753698,0.0917171910030056,0.107925046510355,0.107925046510355,-0.0974561038914026,0.19890554984151,0.0952016987696678,0.125980384890931,-0.183003964111838,0.166225349256724
"ZEB",-0.0431645553558181,-0.0274479899254521,-0.00981812996407665,-0.00651474432024561,-0.00651474432024561,-0.0014413242506231,0.000922269155646516,0.0140363193708298,0.059917417321449,0.0872224989088393,0.111043930275845
"Ecad",-0.00317339662119505,-0.0192273688974072,0.082686381270398,0.0825515577158728,0.0825515577158728,0.0514176181629771,0.162145633838975,0.0509218414740431,0.00412674513761885,-0.128098844063933,0.101396279862625
"OVOL2",0.00617712341066293,-0.0122608841433649,-0.0134519593821052,0.0843583291819864,0.0843583291819864,-0.0264289299624748,0.0708758830082052,0.068169711534424,0.0899601517779557,-0.0136262776255556,-0.0409944377863337
"GRHL2",-0.0165774228115653,-0.00651474432024561,0.0815748225032815,0.0765648335596952,0.0765648335596952,0.059917417321449,0.0491982798057778,0.0431645553558181,0.00147964150208044,-0.0165980902049604,-0.0804785592511101
"miR200",-0.0162502650456513,-0.00650243043200578,0.0797472864976668,0.0742815860906029,0.0742815860906029,0.0656748913731378,0.0235902532320125,0.0416085402297559,-0.106222416978575,0.0853002067525272,-0.105317281649872
"miR145",-0.0305924089562703,0.0261309732606707,0.0421513813888258,0.0199977999454325,0.0199977999454325,-0.0684486258136842,0.0100304830917087,-0.0915499274997632,0.108673907415687,-0.0664050119759529,-0.0580215226901767
"OCT4",-0.0584374737093503,0.0423736492253339,0.0021235321786732,0.0163966654011972,0.0163966654011972,-0.0307179036595518,0.0266227573728674,-0.00661126220302417,0.0833402812819295,0.00552820003311807,0.109779639195988
"NRF2",-0.0952016987696678,0.106176780619036,-0.0584812523616616,-0.0755635304753698,-0.0755635304753698,0.124445367018333,-0.175720538131909,-0.0687395702941165,-0.0974561038914026,0.115900854455537,-0.152045740884002
"miR34",-0.0952016987696678,0.106176780619036,-0.0584812523616616,-0.0755635304753698,-0.0755635304753698,0.124445367018333,-0.175720538131909,-0.0687395702941165,-0.0974561038914026,0.115900854455537,-0.152045740884002
