"","ZEB","OVOL2","miR34","miR200","miR145","GRHL2","Ecad","SNAIL","OCT4","NRF2","KEAP1"
"ZEB",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"SNAIL",0,0.1,0,0,0.1,0.1,-0.1,0,0,0,0.1
"OVOL2",0,0,0.1,0,0.1,0.1,-0.1,0,0,0,0.1
"miR200",0,0.1,0.1,0.1,0.1,0.1,-0.1,0,0,0.1,-0.1
"miR145",0,0.1,0.1,0.1,0.1,0.1,-0.1,0,-0.1,0,0
"KEAP1",0,0.1,0,0,0.1,0.1,-0.1,0.1,0,-0.1,0.1
"GRHL2",0,0.1,0.1,0.1,0.1,0.1,-0.1,0,0,0,0
"Ecad",0,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,-0.1,0,0.1,0
"OCT4",0.1,0,0,-0.1,-0.1,0,0,0.1,0.2,0,0.2
"NRF2",0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0
"miR34",0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0
