"","miR200","miR145","GRHL2","Ecad","miR34","OVOL2","ZEB","NRF2","SNAIL","OCT4","KEAP1"
"SNAIL",0.140433517295448,0.137679441313076,0.130993245060964,0.130993245060964,0.0110957118207234,0.103311105372626,-0.105277791258838,0.0102073279826194,-0.058725854639703,-0.108142919251526,-0.139635268880542
"KEAP1",0.140208882647272,0.139878297966771,0.133377670471548,0.133377670471548,0.0137064905537812,0.106198791523209,-0.102235343410853,-0.0872257926273345,0.0449571786292953,-0.10306848201585,-0.139218783637371
"OVOL2",0.129281372802667,0.133482020368219,0.126315418432754,0.126315418432754,0.131608701373091,-0.00798441748213647,-0.101775905657947,0.00725765725665479,-0.0793325196337053,-0.105308272199642,-0.128437826725952
"Ecad",0.163198662673523,0.0957075321779106,0.0935731977093406,0.0935731977093406,0.0916086333258374,0.0845539997176432,-0.0479578349243628,-0.120407085652212,0.0683214915971489,-0.0435442668717882,-0.161712890827641
"GRHL2",0.126914203595606,0.0865292094185223,0.0847855740135832,0.0847855740135832,0.084863618268993,0.0807581542688525,-0.0360262902321335,-0.0298050592325401,-0.0251989884120542,-0.031054515405952,-0.125321066340704
"miR200",0.113249054839666,0.0818744590804371,0.0801611404369573,0.0801611404369573,0.0803629030872151,0.078260942615285,-0.0322342519913866,0.0670662483059563,-0.0234164219281777,-0.0275222480641454,-0.211765375314444
"ZEB",-0.125706072682796,-0.0366281368370374,-0.0360262902321335,-0.0360262902321335,-0.0339734105538594,-0.029522608569502,-0.019744206822555,0.0651409154293235,0.0792036998372603,0.0865292094185223,0.126914203595606
"miR145",0.0134227425611465,0.0595177881579759,0.0540924067745803,0.0540924067745803,0.0537549964936207,0.0600879894554944,-0.0143692266527039,-0.0926783865159723,-0.0102830483150838,-0.114487444260471,-0.0120793967121686
"OCT4",0.13216710671909,-0.145111094861165,-0.00502945094373935,-0.00502945094373935,0.000131991898395838,-0.00288490588646991,0.00383659208536132,0.121513400397417,-0.0261212874238733,0.143463923698597,-0.132196244248228
"NRF2",-0.139635268880542,-0.108142919251526,-0.102235343410853,-0.102235343410853,0.0189313633955482,-0.0732550369578328,0.130993245060964,0.0100844942094403,-0.00971072353138847,0.139878297966771,0.140208882647272
"miR34",-0.139635268880542,-0.108142919251526,-0.102235343410853,-0.102235343410853,0.0189313633955482,-0.0732550369578328,0.130993245060964,0.0100844942094403,-0.00971072353138847,0.139878297966771,0.140208882647272
