"","SNAIL","miR145","GRHL2","Ecad","miR200","OVOL2","ZEB","miR34","NRF2","KEAP1","OCT4"
"SNAIL",-0.0215053854828704,0.145500587424942,0.139007795570645,0.139007795570645,0.14953834733222,0.108874657629805,-0.107364295979475,-0.170992083436989,0.0136638197938549,-0.116554722828274,-0.110001885163169
"KEAP1",0.0769160578705431,0.145955864070168,0.139769876257801,0.139769876257801,0.150545015518375,0.110594898203023,-0.104174859030131,-0.171265691068647,-0.0834455969597727,-0.112591220138837,-0.104238072659125
"Ecad",0.137236607185488,0.109373417649885,0.107749436404072,0.107749436404072,0.156932814285492,0.0945532182314873,-0.0514444510668282,-0.198708488487356,-0.112155882116011,-0.0982490234687375,-0.0463802203709738
"miR145",0.0989907579034107,0.103437688568489,0.10207428464184,0.10207428464184,0.0962507948091067,0.092910623403002,-0.0397992598414242,-0.104600415504311,-0.0209498901943879,-0.0312945995650517,-0.133862503133559
"GRHL2",0.0982931764767975,0.101699036243392,0.100542975244701,0.100542975244701,0.0960792273367144,0.0918925129464314,-0.0397392444599693,-0.104123373542664,-0.0214376357315289,-0.0329052077288712,-0.034117163931119
"miR200",0.0139472153029732,0.0961937436044595,0.0949800361719227,0.0949800361719227,0.0785392207054826,0.0887686779237402,-0.0354501930706125,-0.0794045653420938,0.0735072027936488,-0.117019167101577,-0.0303597637751344
"OVOL2",0.0765239453798707,0.0886673104865878,0.088096270663427,0.088096270663427,-0.0120028951219264,-0.0133566115121632,-0.0241865855772713,-0.0895209569165888,-0.0152957659988626,0.0773697580854789,-0.0189870553801498
"ZEB",-0.121246651152887,-0.0400516343898041,-0.0397392444599693,-0.0397392444599693,-0.0379483145266913,-0.0288242411263776,-0.00249883637148061,0.0505996346702601,0.0877101049841306,0.0960792273367144,0.101699036243392
"OCT4",-0.0658720682760438,-0.132360787747125,-0.0321922508332366,-0.0321922508332366,-0.124991594169543,-0.0227179395971106,0.0988722604401536,0.034243512407574,-0.0059601076337142,0.191075510253459,0.202234265904203
"NRF2",-0.0904204467969441,-0.110001885163169,-0.104174859030131,-0.104174859030131,-0.116554722828274,-0.0732683824981288,0.139007795570645,0.140331051937286,0.0227800214005802,0.150545015518375,0.145955864070168
"miR34",-0.0904204467969441,-0.110001885163169,-0.104174859030131,-0.104174859030131,-0.116554722828274,-0.0732683824981288,0.139007795570645,0.140331051937286,0.0227800214005802,0.150545015518375,0.145955864070168
