"Nature","Strength","Type","Node"
"P",0.504243692815122,"DA","Ecadherin,Ecadherin"
"N",0.451825529652216,"NF","Ecadherin,miR200"
"P",0.101628558776436,"DA","Ecadherin,SNAIL"
"P",0.281372371231106,"DA","Ecadherin,KEAP1"
"P",0.442225374603203,"TS","Ecadherin,NRF2"
"N",0.28206995848843,"NF","Ecadherin,miR34"
"P",0.504340393514578,"TS","Ecadherin,ZEB"
"P",0.40819088543268,"TS","miR200,miR200"
"P",0.131875937708108,"TS","miR200,SNAIL"
"N",0.189753274088364,"NF","miR200,KEAP1"
"N",0.241284298329559,"NF","miR200,NRF2"
"P",0.291482051031459,"DA","miR200,miR34"
"N",0.465967829402386,"NF","miR200,ZEB"
"P",0.171531768695061,"TS","SNAIL,SNAIL"
"P",0.102847264250377,"DA","SNAIL,KEAP1"
"P",0.0908314102799545,"TS","SNAIL,NRF2"
"N",0.101408820793183,"NF","SNAIL,miR34"
"N",0.12759191014189,"NF","SNAIL,ZEB"
"P",0.172862797100453,"DA","KEAP1,KEAP1"
"P",0.263857994288324,"TS","KEAP1,NRF2"
"N",0.173251146615016,"NF","KEAP1,miR34"
"P",0.295940401594951,"TS","KEAP1,ZEB"
"P",0.152966714620809,"DA","NRF2,NRF2"
"N",0.163869965625523,"NF","NRF2,miR34"
"P",0.341220419142653,"DA","NRF2,ZEB"
"P",0.174773216630237,"TS","miR34,miR34"
"N",0.296432461239519,"NF","miR34,ZEB"
"P",0.303999452845102,"DA","ZEB,ZEB"
